opened_at,instrument_name,option_type,spot_price,strike,days_to_expiry,entry_price_usd,quantity,capital_at_risk,model_price_usd,price_diff_pct,implied_volatility,implied_volatility_model,implied_volatility_feed,historical_volatility,volatility_spread,cheapness_score,volatility_edge,combined_score,mispricing_score,classification,status,current_price_usd,current_value_usd,entry_value_usd,unrealized_pnl_usd,unrealized_pnl_pct,quote_source,last_updated_at,price_update_status,highest_price_usd,trailing_stop_price_usd,hybrid_exit_pnl_pct,trend_supportive,regime_hostile,closed_at,exit_price_usd,exit_value_usd,pnl_usd,pnl_pct,close_reason,days_to_expiry_at_close,underlying_price_at_close,quote_source_at_close,hybrid_exit_reason,trend_supportive_at_exit,regime_hostile_at_exit,updated_at,exit_mark_price_usd,exit_bid_price_usd,exit_ask_price_usd,exit_underlying_price_usd,highest_profit_pct,trend_strength_at_exit,volatility_contracting_at_exit
2026-05-08 07:00:42.592102+00:00,ETH-22MAY26-2400-C,call,2274.14,2400.0,14.04126300070602,40.365984999999995,2.4773333290392894,100.0,65.46693296046544,-0.3834141424591183,0.4909,,,0.6381526963679461,-0.147252696367946,0.3834141424591183,0.147252696367946,0.5306668388270644,-0.5306668388270644,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:00:42.592178+00:00,ETH-29MAY26-2450-C,call,2274.78,2450.0,21.0411928775,47.20168500000001,2.0973827523318285,99.0,74.84119788934606,-0.3693087987476032,0.5072,,,0.6381526963679461,-0.1309526963679461,0.3693087987476032,0.1309526963679461,0.5002614951155493,-0.5002614951155493,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:00:42.592225+00:00,ETH-22MAY26-2350-C,call,2274.14,2350.0,14.041268468587964,55.71643,1.759086143889693,98.01,82.73596059692534,-0.3265754141486265,0.4904,,,0.6381526963679461,-0.1477526963679461,0.3265754141486265,0.1477526963679461,0.4743281105165726,-0.4743281105165726,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981562+00:00,ETH-29MAY26-2400-C,call,2272.54,2400.0,21.038349110023148,60.22230999999999,1.6111952530548896,97.0299,89.71614732961473,-0.3287461422218139,0.5071,,,0.6381599157350738,-0.1310599157350738,0.3287461422218139,0.1310599157350738,0.4598060579568877,-0.4598060579568877,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981669+00:00,ETH-22MAY26-2300-C,call,2271.7,2300.0,14.038425388703704,74.9661,1.2813738609851653,96.059601,102.01211694957716,-0.2651255336946447,0.4931,,,0.6381599157350738,-0.1450599157350737,0.2651255336946447,0.1450599157350737,0.4101854494297184,-0.4101854494297184,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981734+00:00,ETH-29MAY26-2350-C,call,2272.54,2350.0,21.038354521608795,77.834495,1.221810522314046,95.09900499,107.85160793918271,-0.2783186408876657,0.5071,,,0.6381599157350738,-0.1310599157350738,0.2783186408876657,0.1310599157350738,0.4093785566227395,-0.4093785566227395,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981792+00:00,ETH-29MAY26-2300-C,call,2272.57,2300.0,21.03835992283565,98.2886525,0.9578726795557604,94.1480149401,128.65627123987463,-0.2360368324623318,0.5091,,,0.6381599157350738,-0.1290599157350738,0.2360368324623318,0.1290599157350738,0.3650967481974057,-0.3650967481974057,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981846+00:00,ETH-22MAY26-2250-C,call,2271.7,2250.0,14.03843073005787,99.38687499999996,0.9378153281376344,93.206534790699,125.74677878820626,-0.2096268710994493,0.4988,,,0.6381599157350738,-0.1393599157350737,0.2096268710994493,0.1393599157350737,0.3489867868345231,-0.3489867868345231,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981898+00:00,ETH-29MAY26-2250-C,call,2272.57,2250.0,21.038365288206016,123.2869225,0.7484530197660827,92.274469442792,152.23967933518065,-0.1901787823096789,0.5136999999999999,,,0.6381599157350738,-0.1244599157350738,0.1901787823096789,0.1244599157350738,0.3146386980447528,-0.3146386980447528,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981948+00:00,ETH-22MAY26-2200-C,call,2271.68,2200.0,14.03843618859954,130.05368,0.7024155314049098,91.35172474836408,152.9949200323383,-0.1499477239341624,0.504,,,0.6381599157350738,-0.1341599157350738,0.1499477239341624,0.1341599157350738,0.2841076396692362,-0.2841076396692362,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981948+00:00,ETH-22MAY26-2200-C,call,2314.41,2200.0,13.396671960694452,130.05368,0.7024155314049098,91.35172474836408,152.9949200323383,-0.1499477239341624,0.504,,,0.6381599157350738,-0.1341599157350738,0.1499477239341624,0.1341599157350738,0.2841076396692362,-0.2841076396692362,cheap,closed,148.7008425,104.44978130499528,91.35172474836408,13.098056556631192,0.1433805064185802,bid_ask_mid,2026-05-08 22:28:57.411239+00:00,ok,180.97347,153.8274495,0.3915290209396611,True,True,2026-05-08 22:55:10.160758+00:00,180.97347,127.1185761002405,35.76685135187641,0.3915290209396611,profit_protected_hostile_regime,13.37846884126158,2312.76,bid_ask_mid,profit_protected_hostile_regime,True,True,,,,,,,,
2026-05-08 22:55:10.957693+00:00,ETH-22MAY26-2450-C,call,2312.72,2450.0,13.378440623900463,34.690799999999996,2.6436228989208335,91.70939326188284,61.03799021307009,-0.4316523221209921,0.4757,,,0.6378004654453455,-0.1621004654453455,0.4316523221209921,0.1621004654453455,0.5937527875663375,-0.5937527875663375,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:04:48.981846+00:00,ETH-22MAY26-2250-C,call,2318.8,2250.0,13.19097315334489,99.38687499999996,0.9378153281376344,93.206534790699,125.74677878820626,-0.2096268710994493,0.4988,,,0.6381599157350738,-0.1393599157350737,0.2096268710994493,0.1393599157350737,0.3489867868345231,-0.3489867868345231,cheap,closed,121.737,114.1668246014912,93.206534790699,20.96028981079219,0.2248800457806934,bid_ask_mid,2026-05-09 03:25:09.316474+00:00,ok,148.72075999999998,126.41264599999998,0.4963822939397182,True,True,2026-05-09 03:42:01.569257+00:00,148.72075999999998,139.47260834027836,46.266073549579346,0.4963822939397182,profit_protected_hostile_regime,13.17925726465276,2314.72,bid_ask_mid,profit_protected_hostile_regime,True,True,,,,,,,,
2026-05-09 03:42:02.352260+00:00,ETH-29MAY26-2500-C,call,2316.03,2500.0,20.17916739162037,44.00457,2.0949420801672827,92.1870254126668,71.75863699932677,-0.3867697068937799,0.5001,,,0.637804595615104,-0.137704595615104,0.3867697068937799,0.137704595615104,0.524474302508884,-0.524474302508884,cheap,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08 07:00:42.592102+00:00,ETH-22MAY26-2400-C,call,2317.96,2400.0,,40.365984999999995,2.4773333290392894,100.0,65.46693296046544,-0.3834141424591183,0.4909,,,0.6381526963679461,-0.147252696367946,0.3834141424591183,0.147252696367946,0.5306668388270644,-0.5306668388270644,cheap,closed,50.41563,124.89632050351308,100.0,24.896320503513067,0.2489632050351307,bid_ask_mid,2026-05-09 09:07:33.217904+00:00,ok,52.8448375,43.33276675,0.2489632050351307,True,True,2026-05-09T09:24:52.614353+00:00,48.63306000000001,,20.480300431167514,0.20480300431167509,profit_protected_volatility_contracting,,,,profit_protected_volatility_contracting,True,True,2026-05-09T09:24:52.614353+00:00,49.327818,48.63306000000001,50.94892,2315.86,0.30914277206415264,0.040088985088977236,True
2026-05-08 07:00:42.592225+00:00,ETH-22MAY26-2350-C,call,2317.99,2350.0,,55.71643,1.759086143889693,98.01,82.73596059692534,-0.3265754141486265,0.4904,,,0.6381526963679461,-0.1477526963679461,0.3265754141486265,0.1477526963679461,0.4743281105165726,-0.4743281105165726,cheap,closed,68.380705,120.28755067490866,98.01,22.277550674908653,0.2272987519121381,bid_ask_mid,2026-05-09 09:07:33.217904+00:00,ok,72.00835000000001,59.046847000000014,0.2272987519121381,True,True,2026-05-09T09:24:52.614353+00:00,66.00144,,18.092218580766932,0.1845956390242518,profit_protected_volatility_contracting,,,,profit_protected_volatility_contracting,True,True,2026-05-09T09:24:52.614353+00:00,67.622528,66.00144,68.31728,2315.84,0.2924078229707108,0.040088985088977236,True
2026-05-08 07:04:48.981669+00:00,ETH-22MAY26-2300-C,call,2317.99,2300.0,,74.9661,1.2813738609851653,96.059601,102.01211694957716,-0.2651255336946447,0.4931,,,0.6381599157350738,-0.1450599157350737,0.2651255336946447,0.1450599157350737,0.4101854494297184,-0.4101854494297184,cheap,closed,92.14010249999998,118.06591889199386,96.059601,22.00631789199386,0.229090248792454,bid_ask_mid,2026-05-09 09:07:33.217904+00:00,ok,94.6561375,77.61803275000001,0.229090248792454,True,True,2026-05-09T09:24:52.614353+00:00,89.15984,,18.187487425619587,0.18933544628838916,profit_protected_volatility_contracting,,,,profit_protected_volatility_contracting,True,True,2026-05-09T09:24:52.614353+00:00,90.31776,89.15984,92.6336,2315.84,0.26265255228696716,0.040088985088977236,True
