timestamp,actions,risk_status,flat_7d_loss,net_theta
2026-05-13T02:13:05.397766+00:00,2,BREACH,0.0,0.0
2026-05-13T02:59:38.002136+00:00,2,BREACH,0.0,0.0
2026-05-13T04:17:12.735210+00:00,2,BREACH,0.0,0.0
