instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used
ETH-17MAY26-2375-C,call,2026-05-17,2375.0,3.049874001041667,2267.11,2267.11,0.04758922151990852,0.04758922151990852,5.441064,4.987642000000001,6.121197,13.60266,5.441064,43.45,0.43450000000000005,0.12491,0.00228,0.42639,-3.03714,166.0,166.0,0.2040816326530611,17.10957765264351,17.10957765264351,-0.6819872406868365,-0.2132031170848439,cheap,0.8951903577716804,0.647703117084844
ETH-17MAY26-2350-C,call,2026-05-17,2350.0,3.049874001041667,2267.11,2267.11,0.03656196655654109,0.03656196655654109,8.615018000000001,8.161596,9.295151,5.894486,8.615018000000001,42.27,0.4227,0.18139,0.00301,0.54643,-3.78674,1235.0,1252.0,0.12987012987013,23.009099237976898,23.009099237976898,-0.6255821268404644,-0.22500311708484394,cheap,0.8505852439253083,0.647703117084844
ETH-17MAY26-2175-P,put,2026-05-17,2175.0,3.049874001041667,2267.11,2267.11,-0.040628818187031124,0.040628818187031124,7.254752000000001,6.574619,7.254752000000001,9.521862,7.254752000000001,44.61,0.4461,-0.14979,0.00252,0.48276,-3.53079,387.0,387.0,0.09836065573770499,18.58075638397156,18.58075638397156,-0.6095556149555778,-0.20160311708484396,cheap,0.8111587320404217,0.647703117084844
ETH-17MAY26-2325-C,call,2026-05-17,2325.0,3.049874001041667,2267.11,2267.11,0.025534711593173665,0.025534711593173665,13.149238,12.469105,14.736215,15.86977,13.149238,41.46,0.4146,0.25905,0.00377,0.67095,-4.56075,32.0,32.0,0.16666666666666657,30.37527253794599,30.37527253794599,-0.5671071598263537,-0.23310311708484394,cheap,0.8002102769111976,0.647703117084844
ETH-17MAY26-2200-P,put,2026-05-17,2200.0,3.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,11.108839,10.201995,11.335550000000001,14.962926000000001,11.108839,42.95,0.42950000000000005,-0.21626,0.00329,0.60758,-4.27776,1074.0,1084.0,0.10526315789473695,25.61082299247505,25.61082299247505,-0.5662443567993114,-0.2182031170848439,cheap,0.7844474738841554,0.647703117084844
ETH-22MAY26-2500-C,call,2026-05-22,2500.0,8.049874001041667,2267.11,2267.11,0.10272549633674588,0.10272549633674588,7.481463000000001,7.254752000000001,8.161596,8.615018000000001,7.481463000000001,49.4,0.494,0.0986,0.00104,0.58511,-1.7952,9904.0,1949.0,0.11764705882352924,18.788746999483124,18.788746999483124,-0.6018114991805565,-0.15370311708484397,cheap,0.7555146162654005,0.647703117084844
ETH-29MAY26-2700-C,call,2026-05-29,2700.0,15.049874001041667,2267.11,2267.11,0.19094353604368552,0.19094353604368552,5.441064,5.214353,5.894486,5.894486,5.441064,52.15,0.5215,0.05588,0.00047,0.51894,-0.89908,18493.0,37.0,0.12244897959183668,14.281151129597731,14.281151129597731,-0.6190038218471494,-0.126203117084844,cheap,0.7452069389319934,0.647703117084844
ETH-29MAY26-2650-C,call,2026-05-29,2650.0,15.049874001041667,2267.11,2267.11,0.16888902611695067,0.16888902611695067,7.481463000000001,7.028041,7.934885,7.934885,7.481463000000001,51.0,0.51,0.07382,0.0006,0.6443,-1.09178,8486.0,123.0,0.12121212121212127,19.028807127111804,19.028807127111804,-0.6068348924856889,-0.13770311708484395,cheap,0.7445380095705328,0.647703117084844
ETH-17MAY26-2225-P,put,2026-05-17,2225.0,3.049874001041667,2267.11,2267.11,-0.018574308260296157,0.018574308260296157,17.003325,15.86977,18.13688,21.537545,17.003325,41.6,0.41600000000000004,-0.30431,0.00406,0.72519,-4.94559,35.0,37.0,0.13333333333333336,34.33894401353621,34.33894401353621,-0.5048384425188674,-0.23170311708484392,cheap,0.7365415596037114,0.647703117084844
ETH-29MAY26-2600-C,call,2026-05-29,2600.0,15.049874001041667,2267.11,2267.11,0.1468345161902156,0.1468345161902156,10.428706,9.975284000000002,10.882128,8.841729,10.428706,50.1,0.501,0.09877,0.00075,0.80122,-1.33349,25833.0,46.0,0.08695652173913021,25.1036371377283,25.1036371377283,-0.5845739028657851,-0.14670311708484396,cheap,0.7312770199506291,0.647703117084844
ETH-22MAY26-2450-C,call,2026-05-22,2450.0,8.049874001041667,2267.11,2267.11,0.08067098641001103,0.08067098641001103,12.015683000000001,11.335550000000001,12.469105,11.335550000000001,12.015683000000001,47.98,0.47979999999999995,0.14773,0.00143,0.77744,-2.31692,2277.0,103.0,0.09523809523809518,27.34530993372033,27.34530993372033,-0.5605943750821014,-0.167903117084844,cheap,0.7284974921669454,0.647703117084844
ETH-17MAY26-2300-C,call,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,20.177279000000002,19.270435000000003,21.537545,18.13688,20.177279000000002,40.97,0.4097,0.35725,0.00439,0.77326,-5.19394,60.0,63.0,0.11111111111111105,39.3747437593895,39.3747437593895,-0.48755783343508297,-0.23800311708484395,cheap,0.725560950519927,0.647703117084844
