order_id,instrument_name,side,filled_at,fill_price_usd
PAPER-1,ETH-17MAY26-2400-C,buy,2026-05-13T09:19:05.052948+00:00,13.9221
PAPER-2,ETH-17MAY26-2425-C,buy,2026-05-13T09:19:05.052948+00:00,9.977505
