timestamp,equity,cash,spot_price,historical_volatility,simulated_implied_volatility,open_positions
2021-04-01 00:00:00,10000.0,9900.0,1977.27685546875,0.7444891815414113,0.6328158043101996,1
2021-04-02 00:00:00,10075.049604041678,9974.299108001262,2143.2255859375,0.7697008046528834,0.6542456839549509,1
2021-04-03 00:00:00,10041.609550301842,9941.193454798824,2028.4224853515625,0.795451803507434,0.6761340329813189,1
2021-04-04 00:00:00,10081.937106641839,10081.937106641839,2093.122802734375,0.7972841128783943,0.7972841128783943,0
2021-04-05 00:00:00,10081.937106641839,9981.11773557542,2107.88720703125,0.7610478025771014,0.6468906321905361,1
2021-04-06 00:00:00,10082.35371290854,9981.11773557542,2118.37890625,0.7520219290902496,0.6392186397267121,1
2021-04-07 00:00:00,10039.161326043255,9938.769712782823,1971.0772705078125,0.7727242155205166,0.6568155831924392,1
2021-04-08 00:00:00,10101.13811338867,10101.13811338867,2088.57373046875,0.7950806770503055,0.7950806770503055,0
2021-04-09 00:00:00,10101.13811338867,10000.126732254783,2072.10888671875,0.7823230725462359,0.6649746116643005,1
2021-04-10 00:00:00,10122.08877517599,10000.126732254783,2135.942138671875,0.7866949387784562,0.6686906979616878,1
2021-04-11 00:00:00,10127.495168881323,10000.126732254783,2157.656982421875,0.7764263235088038,0.6599623749824832,1
2021-04-12 00:00:00,10113.62293442263,10000.126732254783,2139.353271484375,0.7276362002438943,0.6184907702073101,1
2021-04-13 00:00:00,10181.498745873909,10079.683758415169,2299.187744140625,0.7501834328333755,0.6376559179083692,1
2021-04-14 00:00:00,10228.760835387622,10126.473227033746,2435.10498046875,0.7544579027577453,0.6412892173440835,1
2021-04-15 00:00:00,10254.836160171699,10126.473227033746,2519.1162109375,0.7589211266207536,0.6450829576276406,1
2021-04-16 00:00:00,10226.574872782183,10126.473227033746,2431.946533203125,0.7759244657415992,0.6595357958803594,1
2021-04-17 00:00:00,10201.155200194715,10126.473227033746,2344.89501953125,0.7846582480511202,0.6669595108434522,1
2021-04-18 00:00:00,10192.963171484635,10192.963171484635,2237.136962890625,0.8076251134776913,0.8076251134776913,0
2021-04-19 00:00:00,10192.963171484635,10192.963171484635,2166.188720703125,0.818539908955894,0.818539908955894,0
2021-04-20 00:00:00,10192.963171484635,10192.963171484635,2330.2109375,0.8477390963707908,0.8477390963707908,0
2021-04-21 00:00:00,10192.963171484635,10192.963171484635,2364.751708984375,0.8152384136882173,0.8152384136882173,0
2021-04-22 00:00:00,10192.963171484635,10192.963171484635,2403.53515625,0.8125896552613099,0.8125896552613099,0
2021-04-23 00:00:00,10192.963171484635,10192.963171484635,2363.586181640625,0.7864394059539042,0.7864394059539042,0
2021-04-24 00:00:00,10192.963171484635,10192.963171484635,2211.625732421875,0.8333760845990782,0.8333760845990782,0
2021-04-25 00:00:00,10192.963171484635,10192.963171484635,2316.0595703125,0.8202909303536686,0.8202909303536686,0
2021-04-26 00:00:00,10192.963171484635,10192.963171484635,2534.481689453125,0.8661821273777571,0.8661821273777571,0
2021-04-27 00:00:00,10192.963171484635,10192.963171484635,2662.865234375,0.8692260061501225,0.8692260061501225,0
2021-04-28 00:00:00,10192.963171484635,10192.963171484635,2746.380126953125,0.8459210017872797,0.8459210017872797,0
2021-04-29 00:00:00,10192.963171484635,10192.963171484635,2756.876953125,0.846619859631923,0.846619859631923,0
2021-04-30 00:00:00,10192.963171484635,10192.963171484635,2773.20703125,0.8420901131551413,0.8420901131551413,0
2021-05-01 00:00:00,10192.963171484635,10192.963171484635,2945.892822265625,0.8566328734332481,0.8566328734332481,0
2021-05-02 00:00:00,10192.963171484635,10192.963171484635,2952.05615234375,0.8220728442843438,0.8220728442843438,0
2021-05-03 00:00:00,10192.963171484635,10192.963171484635,3431.086181640625,0.9216110903366221,0.9216110903366221,0
2021-05-04 00:00:00,10192.963171484635,10192.963171484635,3253.62939453125,0.9522226763891743,0.9522226763891743,0
2021-05-05 00:00:00,10192.963171484635,10192.963171484635,3522.783203125,0.9780572595641144,0.9780572595641144,0
2021-05-06 00:00:00,10192.963171484635,10192.963171484635,3490.88037109375,0.9814806411173994,0.9814806411173994,0
2021-05-07 00:00:00,10192.963171484635,10192.963171484635,3484.72900390625,0.9308204627667088,0.9308204627667088,0
2021-05-08 00:00:00,10192.963171484635,10192.963171484635,3902.647705078125,0.9787453155524375,0.9787453155524375,0
2021-05-09 00:00:00,10192.963171484635,10192.963171484635,3928.8447265625,0.974662315984934,0.974662315984934,0
2021-05-10 00:00:00,10192.963171484635,10192.963171484635,3952.2939453125,0.9755355003073188,0.9755355003073188,0
2021-05-11 00:00:00,10192.963171484635,10192.963171484635,4168.701171875,0.9813577262357306,0.9813577262357306,0
2021-05-12 00:00:00,10192.963171484635,10192.963171484635,3785.8486328125,1.0603042972895764,1.0603042972895764,0
2021-05-13 00:00:00,10192.963171484635,10192.963171484635,3715.1484375,1.05044987706749,1.05044987706749,0
2021-05-14 00:00:00,10192.963171484635,10192.963171484635,4079.057373046875,1.0755419173723433,1.0755419173723433,0
2021-05-15 00:00:00,10192.963171484635,10192.963171484635,3638.1220703125,1.1670464867573338,1.4004557841088006,0
2021-05-16 00:00:00,10192.963171484635,10192.963171484635,3587.506103515625,1.1585034034853479,1.3902040841824175,0
2021-05-17 00:00:00,10192.963171484635,10192.963171484635,3282.397705078125,1.2003294008881031,1.4403952810657237,0
2021-05-18 00:00:00,10192.963171484635,10192.963171484635,3380.070068359375,1.1831143534853108,1.419737224182373,0
