min_mci_to_accept,max_bid_ask_spread_pct,min_market_price_usd,surviving_candidates
0.35,0.35,5,66
0.35,0.5,1,66
0.4,0.5,5,66
0.3,0.35,1,66
0.3,0.35,5,66
0.4,0.5,1,66
0.3,0.5,1,66
0.3,0.5,5,66
0.4,0.35,5,66
0.4,0.35,1,66
