instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,portfolio_score,mci_reject_reason,decision_reason,decision
ETH-17MAY26-2325-P,put,2026-05-17,2325.0,3.049874001041667,2267.11,2267.11,0.0255347115931736,0.0255347115931736,70.733832,63.47908,75.94818500000001,48.742865,70.733832,41.46,0.4146,-0.74095,0.00377,0.67095,-4.56075,1.0,1.0,0.1788617886178862,87.48831120431987,87.48831120431987,-0.1915053448133375,-0.2331031170848439,cheap,0.4246084618981815,0.647703117084844,0.40251713444983295,0.18943455080233473,0.55,0.22906984505292682,0.4889663182346108,0.03499580003472224,1.0,edge_too_weak_after_costs,accepted_dynamic_mci,reject
ETH-17MAY26-2350-P,put,2026-05-17,2350.0,3.049874001041667,2267.11,2267.11,0.036561966556541,0.036561966556541,91.137822,82.749515,97.48573,,91.137822,42.27,0.4227,-0.81861,0.00301,0.54643,-3.78674,0.0,0.0,0.1635220125786163,105.11378348140852,105.11378348140852,-0.1329603123255519,-0.2250031170848439,cheap,0.3579634294103959,0.647703117084844,0.3749433318521652,0.05284258148720139,0.55,0.22906984505292682,0.5327942497753819,0.03499580003472224,1.0,edge_too_weak_after_costs,accepted_dynamic_mci,reject
ETH-17MAY26-2175-C,call,2026-05-17,2175.0,3.049874001041667,2267.11,2267.11,-0.0406288181870311,0.0406288181870311,99.75284,96.35217500000002,108.82128,,99.75284,44.61,0.4461,0.85021,0.00252,0.48276,-3.53079,0.0,0.0,0.1215469613259667,111.41759117994434,111.41759117994434,-0.1046939810528235,-0.2016031170848439,cheap,0.3062970981376675,0.647703117084844,0.3937299285348196,0.0560317374989909,0.55,0.22906984505292682,0.6527229676400952,0.03499580003472224,1.0,edge_too_weak_after_costs,accepted_dynamic_mci,reject
ETH-22MAY26-2400-P,put,2026-05-22,2400.0,8.049874001041667,2267.11,2267.11,0.0586164764832759,0.0586164764832759,150.76281500000002,142.82793,153.02992500000002,162.098365,150.76281500000002,46.8,0.4679999999999999,-0.78165,0.00187,0.99309,-2.88658,385.0,2.0,0.0689655172413793,169.63295702230835,169.63295702230835,-0.1112410132650504,-0.179703117084844,cheap,0.2909441303498944,0.647703117084844,0.4638986734316224,0.17990043198881397,0.55,0.22906984505292682,0.8029556650246306,0.2016624667013889,1.0,edge_too_weak_after_costs,accepted_dynamic_mci,reject
ETH-22MAY26-2150-C,call,2026-05-22,2150.0,8.049874001041667,2267.11,2267.11,-0.0516560731503985,0.0516560731503985,139.200554,136.0266,147.36215,162.098365,139.200554,48.37,0.4836999999999999,0.78272,0.0018,0.99031,-2.97539,150.0,0.0,0.08,157.13772452620287,157.13772452620287,-0.1141493589797516,-0.164003117084844,cheap,0.2781524760645957,0.647703117084844,0.4557297578091183,0.16614102565643316,0.55,0.22906984505292682,0.7714285714285714,0.2016624667013889,1.0,edge_too_weak_after_costs,accepted_dynamic_mci,reject
