instrument_name,base_currency,quote_currency,settlement_currency,option_type,strike,expiration_datetime,days_to_expiry,underlying_price,best_bid_price_eth,best_ask_price_eth,mark_price_eth,last_price_eth,best_bid_price_usd,best_ask_price_usd,mark_price_usd,last_price_usd,bid_iv,ask_iv,mark_iv,open_interest,state,delta,gamma,theta,vega,rho,timestamp
ETH-22MAY26-2400-P,ETH,ETH,ETH,put,2400.0,2026-05-22 08:00:00+00:00,13.733164656967592,2289.13,0.0655,0.068,0.0666,0.069,149.938015,155.66084,152.456058,157.94997,0.4576,0.49369999999999997,0.473,398.0,open,-0.68071,0.0017,-2.73167,1.58642,-0.64362,2026-05-08 14:24:12.870000+00:00
ETH-22MAY26-2450-C,ETH,ETH,ETH,call,2450.0,2026-05-22 08:00:00+00:00,13.733160579108796,2289.13,0.0125,0.0135,0.0129,0.0115,28.614125,30.903255,29.529777000000003,26.324995,0.4705,0.47869999999999996,0.4771,1357.0,open,0.24586,0.00149,-2.42925,1.39849,0.20064,2026-05-08 14:24:14.539000+00:00
ETH-22MAY26-2450-P,ETH,ETH,ETH,put,2450.0,2026-05-22 08:00:00+00:00,13.733156531168982,2289.15,0.0805,0.0895,0.0832,0.049,184.276575,204.878925,190.45728,112.16835,0.4321,0.5760000000000001,0.4771,85.0,open,-0.75411,0.00149,-2.42942,1.39859,-0.72116,2026-05-08 14:24:13.877000+00:00
ETH-22MAY26-2500-C,ETH,ETH,ETH,call,2500.0,2026-05-22 08:00:00+00:00,13.733152424837964,2289.15,0.009,0.0095,0.0092,0.009,20.602349999999998,21.746925,21.06018,20.602349999999998,0.4807,0.4903,0.4844,5299.0,open,0.18651,0.00125,-2.10066,1.19123,0.15272,2026-05-08 14:24:15.198000+00:00
ETH-22MAY26-2500-P,ETH,ETH,ETH,put,2500.0,2026-05-22 08:00:00+00:00,13.733145768310186,2289.22,0.0915,0.11,0.1013,0.117,209.46362999999997,251.81419999999997,231.89798599999997,267.83874,,0.6353,0.4844,18.0,open,-0.81341,0.00125,-2.10134,1.19162,-0.78784,2026-05-08 14:24:14.884000+00:00
ETH-22MAY26-2600-C,ETH,ETH,ETH,call,2600.0,2026-05-22 08:00:00+00:00,13.733143019201387,2289.23,0.0045,0.0048,0.0047,0.0039,10.301535,10.988304,10.759381000000001,8.927997,0.49770000000000003,0.5063,0.5023,2718.0,open,0.10425,0.00081,-1.46912,0.80328,0.08578,2026-05-08 14:24:16.380000+00:00
ETH-22MAY26-2600-P,ETH,ETH,ETH,put,2600.0,2026-05-22 08:00:00+00:00,13.733140243587963,2289.22,0.131,0.1755,0.1405,,299.88782,401.75810999999993,321.63541,,,1.1188,0.5023,0.0,open,-0.89575,0.00081,-1.46903,0.80323,-0.89249,2026-05-08 14:24:16.178000+00:00
ETH-29MAY26-2050-C,ETH,ETH,ETH,call,2050.0,2026-05-29 08:00:00+00:00,20.73313745652778,2290.37,0.116,0.12,0.1177,0.1505,265.68292,274.84439999999995,269.576549,344.70068499999996,0.5061,0.5709000000000001,0.5351,5811.0,open,0.82463,0.00088,-1.81815,1.409,0.91967,2026-05-08 14:24:15.891000+00:00
ETH-29MAY26-2050-P,ETH,ETH,ETH,put,2050.0,2026-05-29 08:00:00+00:00,20.733134781157407,2290.36,0.0125,0.0135,0.0128,0.013,28.629500000000004,30.91986,29.316608000000002,29.77468,0.5302,0.5464,0.5351,4455.0,open,-0.17538,0.00088,-1.8182,1.40904,-0.24481,2026-05-08 14:24:15.891000+00:00
ETH-29MAY26-2100-C,ETH,ETH,ETH,call,2100.0,2026-05-29 08:00:00+00:00,20.73313203130787,2290.37,0.0985,0.1025,0.1001,0.132,225.601445,234.76292499999997,229.26603699999998,302.32884,0.498,0.5539000000000001,0.5211,8121.0,open,0.77663,0.00105,-2.04872,1.63041,0.88014,2026-05-08 14:24:15.891000+00:00
ETH-29MAY26-2100-P,ETH,ETH,ETH,put,2100.0,2026-05-29 08:00:00+00:00,20.733129341747684,2290.37,0.0165,0.0175,0.017,0.018,37.791105,40.081475000000005,38.93629,41.226659999999995,0.5139,0.528,0.5211,6764.0,open,-0.22337,0.00105,-2.04872,1.63041,-0.31274,2026-05-08 14:24:15.891000+00:00
ETH-29MAY26-2150-C,ETH,ETH,ETH,call,2150.0,2026-05-29 08:00:00+00:00,20.733126564062502,2290.37,0.0825,0.085,0.0839,0.0945,188.955525,194.68145,192.16204299999998,216.439965,0.49340000000000006,0.5245000000000001,0.5113,13133.0,open,0.71902,0.00121,-2.26956,1.84065,0.82626,2026-05-08 14:24:15.891000+00:00
ETH-29MAY26-2150-P,ETH,ETH,ETH,put,2150.0,2026-05-29 08:00:00+00:00,20.73312377755787,2290.36,0.022,0.023,0.0226,0.0235,50.38792,52.67828,51.762136,53.823460000000004,0.5032,0.5157,0.5113,7367.0,open,-0.28099,0.00121,-2.26959,1.84068,-0.39504,2026-05-08 14:24:17.970000+00:00
ETH-29MAY26-2200-C,ETH,ETH,ETH,call,2200.0,2026-05-29 08:00:00+00:00,20.733121002222223,2290.37,0.0685,0.07,0.0693,0.0685,156.890345,160.32590000000002,158.72264099999998,156.890345,0.4951,0.5121,0.5038,11722.0,open,0.6537,0.00134,-2.4468,2.01404,0.76035,2026-05-08 14:24:17.905000+00:00
ETH-29MAY26-2200-P,ETH,ETH,ETH,put,2200.0,2026-05-29 08:00:00+00:00,20.733118178229166,2290.37,0.0295,0.0305,0.0298,0.032,67.56591499999999,69.856285,68.25302599999999,73.29184,0.5003,0.5115999999999999,0.5038,12081.0,open,-0.3463,0.00134,-2.4468,2.01404,-0.48933,2026-05-08 14:24:18.359000+00:00
ETH-29MAY26-2250-C,ETH,ETH,ETH,call,2250.0,2026-05-29 08:00:00+00:00,20.733115417824074,2290.37,0.056,0.057,0.0563,0.056,128.26072,130.55109,128.947831,128.26072,0.4954,0.5061,0.4986,15784.0,open,0.5828,0.00143,-2.56209,2.13066,0.68498,2026-05-08 14:24:17.905000+00:00
ETH-29MAY26-2250-P,ETH,ETH,ETH,put,2250.0,2026-05-29 08:00:00+00:00,20.73311260577546,2290.37,0.038,0.039,0.0387,0.039,87.03406,89.32442999999999,88.63731899999999,89.32442999999999,0.4914,0.5021,0.4986,16142.0,open,-0.4172,0.00143,-2.56209,2.13066,-0.5931,2026-05-08 14:24:19.041000+00:00
ETH-29MAY26-2300-C,ETH,ETH,ETH,call,2300.0,2026-05-29 08:00:00+00:00,20.733109912384258,2290.41,0.0445,0.0455,0.0451,0.042,101.923245,104.21365499999999,103.297491,96.19722,0.489,0.49950000000000006,0.4949,10313.0,open,0.5094,0.00148,-2.59868,2.17716,0.60411,2026-05-08 14:24:19.102000+00:00
ETH-29MAY26-2300-P,ETH,ETH,ETH,put,2300.0,2026-05-29 08:00:00+00:00,20.73310723994213,2290.41,0.049,0.05,0.0493,0.048,112.23009,114.5205,112.91721299999999,109.93968,0.49229999999999996,0.5028,0.4949,18192.0,open,-0.4906,0.00148,-2.59868,2.17716,-0.70237,2026-05-08 14:24:19.364000+00:00
ETH-29MAY26-2350-C,ETH,ETH,ETH,call,2350.0,2026-05-29 08:00:00+00:00,20.733104417708333,2290.37,0.035,0.036,0.0356,0.033,80.16295000000001,82.45331999999999,81.537172,75.58221,0.4869,0.4976,0.49329999999999996,8984.0,open,0.43652,0.00146,-2.55799,2.1501,0.5216,2026-05-08 14:24:19.363000+00:00
ETH-29MAY26-2350-P,ETH,ETH,ETH,put,2350.0,2026-05-29 08:00:00+00:00,20.73310166224537,2290.41,0.061,0.0625,0.0616,0.066,139.71500999999998,143.150625,141.089256,151.16706,0.4867,0.5025999999999999,0.49329999999999996,13419.0,open,-0.56342,0.00146,-2.5581,2.15019,-0.81321,2026-05-08 14:24:18.949000+00:00
ETH-29MAY26-2400-C,ETH,ETH,ETH,call,2400.0,2026-05-29 08:00:00+00:00,20.73309888884259,2290.3,0.0275,0.0285,0.0279,0.028,62.983250000000005,65.27355000000001,63.899370000000005,64.12840000000001,0.49,0.5011,0.4941,14079.0,open,0.36752,0.0014,-2.45027,2.05645,0.44188,2026-05-08 14:24:19.923000+00:00
ETH-29MAY26-2400-P,ETH,ETH,ETH,put,2400.0,2026-05-29 08:00:00+00:00,20.733096166770835,2290.41,0.0745,0.077,0.0757,0.0822,170.63554499999998,176.36157,173.384037,188.27170199999998,0.4803,0.5082,0.4941,6572.0,open,-0.63233,0.0014,-2.45073,2.05684,-0.92121,2026-05-08 14:24:19.923000+00:00
ETH-29MAY26-2450-C,ETH,ETH,ETH,call,2450.0,2026-05-29 08:00:00+00:00,20.733093484583335,2290.3,0.021,0.022,0.0216,0.0195,48.09630000000001,50.3866,49.47048000000001,44.66085,0.4885,0.5005,0.4953,7866.0,open,0.30433,0.00129,-2.28156,1.91016,0.36787,2026-05-08 14:24:20.399000+00:00
ETH-29MAY26-2450-P,ETH,ETH,ETH,put,2450.0,2026-05-29 08:00:00+00:00,20.733090741342593,2290.3,0.09,0.0925,0.0913,0.0972,206.127,211.85275000000001,209.10439000000002,222.61716,0.4797,0.5097,0.4953,2115.0,open,-0.69567,0.00129,-2.28156,1.91016,-1.02382,2026-05-08 14:24:19.923000+00:00
ETH-29MAY26-2500-C,ETH,ETH,ETH,call,2500.0,2026-05-29 08:00:00+00:00,20.73308797420139,2290.24,0.0165,0.017,0.0167,0.017,37.788959999999996,38.93408,38.247007999999994,38.93408,0.49700000000000005,0.5036,0.4989,24278.0,open,0.24904,0.00116,-2.08282,1.73104,0.30233,2026-05-08 14:24:20.930000+00:00
ETH-29MAY26-2500-P,ETH,ETH,ETH,put,2500.0,2026-05-29 08:00:00+00:00,20.733085134502314,2290.24,0.1055,0.1105,0.1082,0.1008,241.62031999999996,253.07151999999996,247.803968,230.856192,0.4619,0.5284,0.4989,763.0,open,-0.75096,0.00116,-2.08282,1.73104,-1.11776,2026-05-08 14:24:20.930000+00:00
ETH-29MAY26-2550-C,ETH,ETH,ETH,call,2550.0,2026-05-29 08:00:00+00:00,20.733082401701388,2290.24,0.0125,0.013,0.0127,0.0125,28.628,29.773119999999995,29.086047999999995,28.628,0.4988,0.5063,0.5022,5563.0,open,0.2011,0.00102,-1.85697,1.5332,0.24506,2026-05-08 14:24:21.369000+00:00
ETH-29MAY26-2550-P,ETH,ETH,ETH,put,2550.0,2026-05-29 08:00:00+00:00,20.73307956912037,2290.3,0.1185,0.1795,0.1261,0.118,271.40055,411.10885,288.80683,270.2554,0.37170000000000003,1.1386,0.5022,173.0,open,-0.79884,0.00102,-1.85736,1.53352,-1.20335,2026-05-08 14:24:20.930000+00:00
