instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,same_expiry_iv_percentile,surface_iv_zscore,surface_relative_value_score,term_bucket,institutional_edge_score,candidate_explanation,optimizer_risk_adjusted_score,optimizer_reject_reason,optimizer_reason,fractional_kelly_size_hint,portfolio_candidate_score,opened_at,updated_at,status,entry_price_usd,current_price_usd,highest_price_usd,quantity,capital_at_risk,current_value_usd,unrealized_pnl_usd,unrealized_pnl_pct,confidence_bucket,dynamic_risk_pct,hybrid_exit_reason,dynamic_stop_loss_pct,dynamic_emergency_stop_loss_pct,dynamic_soft_take_profit_pct,dynamic_hard_take_profit_pct,dynamic_trailing_activation_pct,dynamic_trailing_drawdown_pct,dynamic_min_days_to_expiry_exit,last_update_status,highest_profit_pct,closed_at,close_reason,exit_price_usd,exit_value_usd,proceeds_usd,pnl_usd,pnl_pct
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,16.252012486574074,2290.09,2280.47,0.0085640240827549,0.0085640240827549,88.85549200000001,87.02342,90.458555,86.65785999999999,85.06153099999999,48.31,0.4815,0.50636,0.00171,1.92909,-2.85743,10192.0,598.0,0.0270270270270271,117.5136916329227,117.5136916329227,-0.2761564221324394,-0.1645590669371613,cheap,0.4407154890696007,0.6476590669371614,0.1442307692307692,-0.7549521964372695,0.7452750935451035,front_month,0.4983738718440104,ETH-29MAY26-2300-C: model_edge=-27.62%; vol_spread=-16.46%; surface_score=0.75; spread=2.70%,0.7123712702248335,,risk_gated_top_risk_adjusted_score,0.0445232043890521,0.4983738718440104,2026-05-12T23:22:34.452949+00:00,2026-05-13T02:12:35.601947+00:00,closed,85.06153099999999,88.85549200000001,90.52452,0.7913447415149535,67.3129952620612,70.31532634892403,3.0023310868628337,0.0446025477721536,normal,0.0067312995262061,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.064223967471265,2026-05-13T02:13:05.398938+00:00,q32_forced_derisk,87.02342,68.86552580564724,68.86552580564724,1.5525305435860413,0.0230643509108719
ETH-29MAY26-2350-C,call,2026-05-29,2350.0,16.252012486574074,2290.09,2291.22,0.0256544548319237,0.0256544548319237,67.557655,66.41261,68.70270000000001,65.29977,68.27835599999999,48.09,0.48,0.42207,0.00169,1.89242,-2.79468,9153.0,441.0,0.0333333333333332,101.00696494678812,101.00696494678812,-0.3240232885329246,-0.1669898073719279,cheap,0.4910130959048526,0.647889807371928,0.048076923076923,-0.7776471367679978,0.773798494973073,front_month,0.5250713315089485,ETH-29MAY26-2350-C: model_edge=-32.40%; vol_spread=-16.70%; surface_score=0.77; spread=3.33%,0.6954933549295292,,risk_gated_top_risk_adjusted_score,0.0434683346830955,0.5250713315089485,2026-05-13T01:26:35.212074+00:00,2026-05-13T02:12:35.601947+00:00,closed,68.27835599999999,67.557655,68.75280000000001,1.0308274429385658,70.38320312352907,69.6402847545758,-0.7429183689532581,-0.0105553361595289,normal,0.0070383203123529,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.006948673456637,2026-05-13T02:13:05.398938+00:00,q32_forced_derisk,66.41261,68.45994094517623,68.45994094517623,-1.923262178352844,-0.0273255846991979
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,16.219716185555555,2294.59,2294.16,0.0025455940300589,0.0025455940300589,91.324682,89.48901000000001,92.930895,87.17808,91.307568,48.24,0.4825,0.51437,0.00171,1.93007,-2.87108,10108.0,728.0,0.0377358490566037,124.11495802573631,124.11495802573631,-0.264330670110958,-0.1654756683376947,cheap,0.4298063384486528,0.6478756683376947,0.1442307692307692,-0.7400079959381592,0.7391141026400063,front_month,0.4871975209726966,ETH-29MAY26-2300-C: model_edge=-26.43%; vol_spread=-16.55%; surface_score=0.74; spread=3.77%,0.6963457028209215,,risk_gated_top_risk_adjusted_score,0.0435216064263076,0.4871975209726966,2026-05-13T02:28:35.698302+00:00,2026-05-13T02:59:05.526807+00:00,closed,91.307568,91.324682,91.324682,0.7231351831850357,66.0277149118601,66.04009064738513,0.0123757355250231,0.0001874324371446,normal,0.006602771491186,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.0001874324371446,2026-05-13T02:59:38.004310+00:00,q32_forced_derisk,89.48901000000001,64.71265163939749,64.71265163939749,-1.3150632724626092,-0.0199168375615917
ETH-29MAY26-2350-C,call,2026-05-29,2350.0,16.219716185555555,2294.59,2294.59,0.0241481048901981,0.0241481048901981,69.29661800000001,67.690405,69.984995,65.39581500000001,69.29661800000001,47.95,0.4795,0.42968,0.00169,1.90123,-2.81048,9153.0,241.0,0.0333333333333333,102.34427567254488,102.34427567254488,-0.3229067522865894,-0.1683708054619714,cheap,0.4912775577485609,0.6478708054619715,0.0288461538461538,-0.7740927419890041,0.7805343346272711,front_month,0.5266671495386601,ETH-29MAY26-2350-C: model_edge=-32.29%; vol_spread=-16.84%; surface_score=0.78; spread=3.33%,0.6970089441070841,,risk_gated_top_risk_adjusted_score,0.0435630590066927,0.5266671495386601,2026-05-13T02:44:05.455310+00:00,2026-05-13T02:59:05.526807+00:00,closed,69.29661800000001,69.29661800000001,69.29661800000001,1.0183285163634668,70.56672219694592,70.56672219694592,0.0,0.0,normal,0.0070566722196945,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.0,2026-05-13T02:59:38.004310+00:00,q32_forced_derisk,67.690405,68.93106969569219,68.93106969569219,-1.6356525012537242,-0.02317880794702
ETH-29MAY26-2400-C,call,2026-05-29,2400.0,16.165843575983796,2301.89,2290.09,0.047993746970643,0.047993746970643,53.864225999999995,52.94347,54.094415,51.527025,50.38198,48.0,0.4783,0.36078,0.00161,1.81517,-2.68526,16918.0,2898.0,0.0229885057471263,81.73735926227005,81.73735926227005,-0.3836113564870658,-0.1678953291192044,cheap,0.5515066856062703,0.6478953291192044,0.048076923076923,-0.7750112312100751,0.7750223077980968,front_month,0.5568970693556966,ETH-29MAY26-2400-C: model_edge=-38.36%; vol_spread=-16.79%; surface_score=0.78; spread=2.30%,0.7011500005654483,,risk_gated_top_risk_adjusted_score,0.0438218750353405,0.5568970693556966,2026-05-13T01:57:35.536469+00:00,2026-05-13T04:16:41.620770+00:00,closed,50.38198,53.864225999999995,54.09888,1.46963582963403,74.0431629759051,79.16079646510488,5.117633489199777,0.069116894572226,normal,0.0074043162975905,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.073774393146121,2026-05-13T04:17:12.737620+00:00,q32_forced_derisk,52.94347,77.80762045715437,77.80762045715437,3.76445748124927,0.0508413921009059
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,16.165843575983796,2301.89,2293.23,0.0029521679029143,0.0029521679029143,94.37749,93.226545,95.528435,89.43597,90.582585,48.2,0.4797,0.52654,0.00171,1.9299,-2.86356,10108.0,729.0,0.0253164556962026,123.49991061683454,123.49991061683454,-0.2665372424354412,-0.1658796571864961,cheap,0.4324168996219373,0.6478796571864962,0.1826923076923076,-0.7347697720799145,0.7322315269549865,front_month,0.4919136284065572,ETH-29MAY26-2300-C: model_edge=-26.65%; vol_spread=-16.59%; surface_score=0.73; spread=2.53%,0.7160768752027422,,risk_gated_top_risk_adjusted_score,0.0447548047001713,0.4919136284065572,2026-05-13T03:15:08.441586+00:00,2026-05-13T04:16:41.620770+00:00,closed,90.582585,94.37749,94.845696,0.73491021775051,66.57006726675408,69.35898172664658,2.7889144598924993,0.0418944215380914,normal,0.0066570067266754,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.0470632517276914,2026-05-13T04:17:12.737620+00:00,q32_forced_derisk,93.226545,68.51314048607772,68.51314048607772,1.9430732193236435,0.0291883920071392
ETH-29MAY26-2350-C,call,2026-05-29,2350.0,15.671754183032409,2244.95,2301.89,0.0209002167783864,0.0209002167783864,48.93991,48.26642499999999,50.511374999999994,65.603865,72.049157,47.9,0.4807,0.34531,0.00165,1.71637,-2.63258,9153.0,181.0,0.0160000000000001,105.53791715006446,105.53791715006446,-0.3173149618108036,-0.1688462245275074,cheap,0.486161186338311,0.6478462245275074,0.0865384615384615,-0.7564840447880752,0.7694289750286769,front_month,0.5289457010731402,ETH-29MAY26-2350-C: model_edge=-31.73%; vol_spread=-16.88%; surface_score=0.77; spread=1.60%,0.7265385729805502,,risk_gated_top_risk_adjusted_score,0.0454086608112844,0.5289457010731402,2026-05-13T04:01:41.550207+00:00,2026-05-13T16:21:04.731873+00:00,closed,72.049157,48.93991,78.8919,0.9830615453753488,70.82875562341113,48.11094355513049,-22.71781206828064,-0.3207427812097787,normal,0.0070828755623411,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.09497325555106784,2026-05-13T16:21:04.731873+00:00,risk_exit,48.93991,48.11094355513049,,-22.71781206828064,-0.3207427812097787
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,15.671754183032409,2244.95,2306.18,-0.0026797561335194,0.0026797561335194,66.45052,66.22602499999999,67.34849999999999,89.94102,97.320796,48.09,0.4807,0.42773,0.00175,1.82729,-2.80236,10108.0,480.0,0.0355029585798815,130.1643776810397,130.1643776810397,-0.252323886659075,-0.166925705640372,cheap,0.4192495922994471,0.6478257056403721,0.1826923076923076,-0.7362485414762079,0.7265883813012164,front_month,0.4800550023369073,ETH-29MAY26-2300-C: model_edge=-25.23%; vol_spread=-16.69%; surface_score=0.73; spread=3.55%,0.6956963810270651,,risk_gated_top_risk_adjusted_score,0.0434810238141915,0.4800550023369073,2026-05-13T04:32:43.648736+00:00,2026-05-13T16:21:04.731873+00:00,closed,97.320796,66.45052,103.255575,0.6700143026855672,65.20632526874434,44.522798820893335,-20.683526447851,-0.31720122798831196,normal,0.0065206325268744,new_position,-0.25,-0.45,0.3,0.8,0.25,0.18,1.5,updated,0.06098161178213135,2026-05-13T16:21:04.731873+00:00,risk_exit,66.45052,44.522798820893335,,-20.683526447851,-0.31720122798831196
