min_score,max_spread,min_dte,max_abs_moneyness,candidate_count,mean_edge_score,mean_model_edge,mean_spread,mean_dte,quality_score
0.5,0.04,10.0,0.18,6,0.5141409817349992,0.34791202678130223,0.029242141295759486,29.94698630596065,0.45380795118011324
0.5,0.04,3.0,0.18,8,0.5126513271959972,0.32756780245014633,0.029342673165495475,24.69698630596065,0.45233925485740495
0.5,0.04,7.0,0.18,8,0.5126513271959972,0.32756780245014633,0.029342673165495475,24.69698630596065,0.45233925485740495
0.5,0.04,10.0,0.08,4,0.514040841847417,0.32837047024443433,0.029919364195382228,22.94698630596065,0.4521583220632636
0.5,0.04,10.0,0.12,4,0.514040841847417,0.32837047024443433,0.029919364195382228,22.94698630596065,0.4521583220632636
0.5,0.04,3.0,0.08,6,0.5120880157579416,0.30775868998184913,0.029827665721822633,18.28031963929398,0.4507499366719358
0.5,0.04,3.0,0.12,6,0.5120880157579416,0.30775868998184913,0.029827665721822633,18.28031963929398,0.4507499366719358
0.5,0.04,7.0,0.08,6,0.5120880157579416,0.30775868998184913,0.029827665721822633,18.28031963929398,0.4507499366719358
0.5,0.04,7.0,0.12,6,0.5120880157579416,0.30775868998184913,0.029827665721822633,18.28031963929398,0.4507499366719358
0.55,0.06,7.0,0.12,2,0.5693215376977305,0.47699861601402194,0.05266805266805265,15.946986305960648,0.4494598105648736
0.55,0.06,7.0,0.18,2,0.5693215376977305,0.47699861601402194,0.05266805266805265,15.946986305960648,0.4494598105648736
0.55,0.06,10.0,0.12,2,0.5693215376977305,0.47699861601402194,0.05266805266805265,15.946986305960648,0.4494598105648736
0.55,0.06,10.0,0.18,2,0.5693215376977305,0.47699861601402194,0.05266805266805265,15.946986305960648,0.4494598105648736
0.45,0.04,3.0,0.18,12,0.5004177882579514,0.2951619505672456,0.02609519578522761,24.113652972627317,0.4477428950568698
0.45,0.04,7.0,0.18,12,0.5004177882579514,0.2951619505672456,0.02609519578522761,24.113652972627317,0.4477428950568698
0.45,0.04,10.0,0.18,10,0.4988648731937434,0.30088731478935893,0.02538538118733245,27.14698630596065,0.44770484089038776
0.5,0.06,10.0,0.18,9,0.5250507268579799,0.3802529090137571,0.03720477857385737,25.28031963929398,0.4461334860221031
0.45,0.04,3.0,0.08,10,0.49763309360750874,0.2767953127096871,0.025736695842970336,20.14698630596065,0.4458700321854813
0.45,0.04,3.0,0.12,10,0.49763309360750874,0.2767953127096871,0.025736695842970336,20.14698630596065,0.4458700321854813
0.45,0.04,7.0,0.08,10,0.49763309360750874,0.2767953127096871,0.025736695842970336,20.14698630596065,0.4458700321854813
0.45,0.04,7.0,0.12,10,0.49763309360750874,0.2767953127096871,0.025736695842970336,20.14698630596065,0.4458700321854813
0.45,0.04,10.0,0.08,8,0.4949957761146383,0.2793603585229392,0.024759802610037063,22.94698630596065,0.4453542487595316
0.45,0.04,10.0,0.12,8,0.4949957761146383,0.2793603585229392,0.024759802610037063,22.94698630596065,0.4453542487595316
0.5,0.06,7.0,0.18,15,0.5256545383510062,0.37652555321889447,0.039002854058489925,18.74698630596065,0.44300150863448023
0.5,0.06,10.0,0.12,7,0.5281105741002132,0.37832655734481974,0.039866802310241194,19.94698630596065,0.4429981364816147
0.55,0.06,3.0,0.12,3,0.5634832016240481,0.43097606245351466,0.05363055363055353,11.946986305960648,0.44270082579646336
0.55,0.06,3.0,0.18,3,0.5634832016240481,0.43097606245351466,0.05363055363055353,11.946986305960648,0.44270082579646336
0.5,0.06,3.0,0.18,18,0.5271918975628779,0.3642403450318093,0.04038162435655898,16.28031963929398,0.44140113612044934
0.5,0.06,7.0,0.08,11,0.522779988539045,0.34774040773685083,0.03866852633226377,15.310622669597013,0.44135012741406626
0.5,0.08,10.0,0.18,10,0.5290071234973268,0.39058178976361824,0.04089170812387903,24.346986305960648,0.4412522825005502
0.5,0.06,7.0,0.12,13,0.5273950424803665,0.37491484758256477,0.04071287845264007,14.870063229037573,0.44083140082227523
0.5,0.06,3.0,0.08,14,0.5253725681997289,0.3381133855281793,0.04051287265682959,12.875557734532078,0.4396463730146868
0.5,0.06,10.0,0.08,6,0.5188821800131777,0.3532855884720185,0.03796426081493952,20.613652972627317,0.43953240240250246
0.5,0.06,3.0,0.12,16,0.5287982270694671,0.36139599567890573,0.04194336546406461,12.82198630596065,0.43943787695877895
0.45,0.06,10.0,0.18,15,0.5077517330822782,0.3380200009942636,0.034030899529562474,23.413652972627315,0.4376153552583676
0.5,0.08,10.0,0.12,8,0.5326735889941175,0.3914784522407634,0.04414271128072029,19.44698630596065,0.43728855077223466
0.5,0.1,10.0,0.12,8,0.5326735889941175,0.3914784522407634,0.04414271128072029,19.44698630596065,0.43728855077223466
0.5,0.08,7.0,0.18,18,0.5303616016107848,0.3882673118013775,0.0439055378139082,17.502541861516207,0.436191276854071
0.45,0.06,10.0,0.08,11,0.5003925421763937,0.302285738383649,0.03175927241948216,21.03789539686974,0.43586295358109994
0.45,0.06,7.0,0.18,22,0.5109374440344554,0.34020669660586766,0.03645001863900598,18.810622669597013,0.4355608664593365
0.45,0.06,7.0,0.08,17,0.506270058633608,0.3070126041028776,0.034597490281272354,16.770515717725356,0.43531982084961335
0.45,0.06,3.0,0.18,25,0.5138103939849892,0.3357196095047296,0.03774907350395378,17.026986305960648,0.4353014753102515
0.55,0.06,7.0,0.08,1,0.5551621367730338,0.4254248614464165,0.0540540540540541,15.946986305960648,0.4351270801734588
0.55,0.06,10.0,0.08,1,0.5551621367730338,0.4254248614464165,0.0540540540540541,15.946986305960648,0.4351270801734588
0.45,0.06,3.0,0.08,20,0.5105613538819023,0.30638285910190344,0.036499188116117146,14.84698630596065,0.4350317387547157
0.45,0.06,10.0,0.12,13,0.506737959477988,0.33048536424645214,0.03497600784233916,20.254678613652956,0.4346166084652221
0.5,0.08,7.0,0.12,16,0.5323641441233626,0.38842633329466997,0.04590776810358248,14.19698630596065,0.43357678528410326
0.5,0.1,7.0,0.12,16,0.5323641441233626,0.38842633329466997,0.04590776810358248,14.19698630596065,0.43357678528410326
0.5,0.08,10.0,0.08,7,0.5254153961900733,0.37189360676349714,0.04312280556624445,19.94698630596065,0.433502266460227
0.5,0.1,10.0,0.08,7,0.5254153961900733,0.37189360676349714,0.04312280556624445,19.94698630596065,0.433502266460227
0.45,0.06,7.0,0.12,20,0.5105970622868846,0.3355278522809507,0.037306250953255175,16.29698630596065,0.4334062321638889
0.45,0.06,3.0,0.12,23,0.5137642315914956,0.3312608677351376,0.038606584635035496,14.686116740743259,0.4334053245186375
0.5,0.1,10.0,0.18,11,0.5324678267954326,0.4096897816729909,0.045832288770625944,23.583349942324286,0.43305174243380923
0.5,0.08,7.0,0.08,14,0.5294479019756093,0.3690051999461955,0.0450436185305643,14.44698630596065,0.43294798252934313
0.5,0.1,7.0,0.08,14,0.5294479019756093,0.3690051999461955,0.0450436185305643,14.44698630596065,0.43294798252934313
0.5,0.08,3.0,0.18,24,0.5375004600820562,0.39228890462610955,0.048250612598146524,14.113652972627316,0.4322523837788938
0.55,0.06,3.0,0.08,2,0.5534843331248585,0.3821779083894583,0.0548048048048047,9.946986305960648,0.4321549682165509
0.55,0.08,10.0,0.12,3,0.5677525895489696,0.4791796495134708,0.059803393136726425,15.946986305960648,0.4320803573121072
0.55,0.08,10.0,0.18,3,0.5677525895489696,0.4791796495134708,0.059803393136726425,15.946986305960648,0.4320803573121072
0.55,0.1,10.0,0.12,3,0.5677525895489696,0.4791796495134708,0.059803393136726425,15.946986305960648,0.4320803573121072
0.5,0.1,7.0,0.18,19,0.5322938783563483,0.3994516480627112,0.04660725136254962,17.420670516486965,0.4317099644810356
0.5,0.08,3.0,0.12,22,0.5396058417704099,0.3927701559689342,0.05010178688011311,11.401531760506103,0.4299928541757193
0.45,0.08,10.0,0.18,17,0.5099248363054796,0.35121431360633665,0.03890944964356399,22.535221600078298,0.42936948816848386
0.5,0.08,3.0,0.08,20,0.5382886420316875,0.37960974489242855,0.049916284056653444,11.296986305960647,0.42919429913654883
0.4,0.04,3.0,0.08,16,0.47174023281051236,0.24200370379466848,0.022592562614134094,27.32198630596065,0.42819405820963474
0.4,0.04,7.0,0.08,16,0.47174023281051236,0.24200370379466848,0.022592562614134094,27.32198630596065,0.42819405820963474
0.45,0.08,7.0,0.18,26,0.5150056173151766,0.35547220151353337,0.04169539833670028,17.831601690576033,0.4279418821209084
0.4,0.04,3.0,0.18,19,0.47331912625010075,0.25873734384679414,0.02358029597833707,29.94698630596065,0.42792581000431484
0.4,0.04,7.0,0.18,19,0.47331912625010075,0.25873734384679414,0.02358029597833707,29.94698630596065,0.42792581000431484
0.55,0.08,7.0,0.12,4,0.567080126333619,0.4702157137829043,0.06151921151921147,14.196986305960648,0.4276551030434678
0.55,0.08,7.0,0.18,4,0.567080126333619,0.4702157137829043,0.06151921151921147,14.196986305960648,0.4276551030434678
0.55,0.1,7.0,0.12,4,0.567080126333619,0.4702157137829043,0.06151921151921147,14.196986305960648,0.4276551030434678
0.45,0.08,3.0,0.18,32,0.5232390082240566,0.36463747931105317,0.0453686055768555,15.22823630596065,0.4265344738269934
0.45,0.08,7.0,0.08,21,0.5121958703908527,0.3322354373224618,0.04144463245131931,15.94698630596065,0.42593270607055445
0.45,0.1,7.0,0.08,21,0.5121958703908527,0.3322354373224618,0.04144463245131931,15.94698630596065,0.42593270607055445
0.45,0.08,10.0,0.12,15,0.5093359796115217,0.3464435367731765,0.04037901686317066,19.680319639293984,0.42567112533577345
0.45,0.1,10.0,0.12,15,0.5093359796115217,0.3464435367731765,0.04037901686317066,19.680319639293984,0.42567112533577345
0.4,0.04,10.0,0.18,17,0.46921756891729016,0.2578199573044548,0.022866887414058668,32.417574541254766,0.42557200342961315
0.45,0.08,7.0,0.12,24,0.5150609802989276,0.3528452899850747,0.04284604024004914,15.655319639293984,0.425511438179833
0.45,0.1,7.0,0.12,24,0.5150609802989276,0.3528452899850747,0.04284604024004914,15.655319639293984,0.425511438179833
0.4,0.04,10.0,0.08,14,0.46653421412930124,0.23849921441438132,0.021585176019767036,29.94698630596065,0.4253741856839711
0.45,0.08,10.0,0.08,13,0.5043664757614856,0.32503741835491606,0.038488395970111895,20.254678613652956,0.4253494968754471
0.45,0.1,10.0,0.08,13,0.5043664757614856,0.32503741835491606,0.038488395970111895,20.254678613652956,0.4253494968754471
0.45,0.1,7.0,0.18,27,0.5169341077767068,0.36455729407846615,0.0436784611849001,17.761801120775463,0.42509389914481543
0.45,0.1,10.0,0.18,18,0.5130998376094247,0.3650785017819134,0.04203881884326016,22.16920852818287,0.425018202257257
0.45,0.08,3.0,0.08,27,0.522578351525301,0.34826171416198265,0.04585378900677313,13.280319639293984,0.42471115017784494
0.45,0.08,3.0,0.12,30,0.523832191338316,0.3631469686081209,0.0465339995822116,13.313652972627317,0.4244962914545388
0.4,0.04,3.0,0.12,17,0.4684929926900934,0.24364819137523608,0.023073543093845662,28.299927482431237,0.42449270419143287
0.4,0.04,7.0,0.12,17,0.4684929926900934,0.24364819137523608,0.023073543093845662,28.299927482431237,0.42449270419143287
0.5,0.1,3.0,0.12,25,0.5442110925674504,0.40119300539456954,0.054593474349705795,10.506986305960647,0.4234911708486618
0.5,0.1,3.0,0.18,28,0.5428940963208242,0.4073066112621797,0.05413751232049171,13.089843448817792,0.42330500113609176
0.4,0.06,3.0,0.18,34,0.49172493191602984,0.2974572812725139,0.03418121779391853,21.476398070666534,0.42286973186943294
0.4,0.06,3.0,0.08,28,0.4881456343712481,0.2706519469650353,0.032773182105267765,19.911272020246365,0.42251420485709085
0.5,0.1,3.0,0.08,23,0.5434661580813474,0.39048159136505456,0.05482274906579241,10.338290653786736,0.42223141139485637
0.4,0.06,7.0,0.18,31,0.48754876142833253,0.2969388597089137,0.032914031530726355,23.172792757573554,0.42185074396483335
0.4,0.04,10.0,0.12,15,0.4632010765715738,0.24059659963104366,0.022197446336397957,30.880319639293983,0.4213673092983866
0.4,0.06,10.0,0.18,23,0.48014003029228,0.2867069147367978,0.029821187289115238,28.12089934943891,0.4212882006838565
0.4,0.06,7.0,0.08,25,0.48253766726112934,0.26679246410927354,0.031032906856271386,21.82698630596065,0.42120799661390634
0.4,0.06,3.0,0.12,32,0.4903114113163966,0.2918611651111062,0.03457456293750631,20.07198630596065,0.42072988952290924
0.55,0.08,3.0,0.12,8,0.5711241458649587,0.4671841245971001,0.06594012447460715,9.071986305960648,0.4202774593878502
0.55,0.08,3.0,0.18,8,0.5711241458649587,0.4671841245971001,0.06594012447460715,9.071986305960648,0.4202774593878502
0.45,0.1,3.0,0.18,36,0.5290186643939871,0.3793902983963362,0.05026752836326743,14.30809741707176,0.4202107217661364
0.45,0.1,3.0,0.12,33,0.5287549859208097,0.3722209321754943,0.05026113741959104,12.462137821112165,0.42007046130263287
0.45,0.1,3.0,0.08,30,0.5281188095473454,0.3597315995307072,0.050021661685434364,12.346986305960648,0.4198212511384178
0.4,0.06,10.0,0.08,18,0.4730403063147338,0.2543967863104565,0.02744481003062702,26.83587519484954,0.41970109646361586
0.4,0.06,7.0,0.12,29,0.4857010028019994,0.29072808176780174,0.03326067539515479,21.74008975423651,0.4194192635890417
0.4,0.08,3.0,0.18,41,0.5028545389924415,0.3265599186244131,0.04073731575253077,19.312839964497236,0.418149686908981
0.4,0.06,10.0,0.12,21,0.47688277017629105,0.27715565520172736,0.03000532936460107,26.613652972627317,0.4178768665190989
0.4,0.08,7.0,0.18,35,0.49324382530613936,0.31322384471426007,0.037214712118531224,21.94698630596065,0.41775779816994424
0.4,0.08,3.0,0.08,35,0.5018990335982865,0.31010467472447,0.04073478970880083,17.689843448817793,0.4170561147344584
0.4,0.08,10.0,0.18,25,0.4838266767072568,0.2997840942136047,0.03347537834587205,27.14698630596065,0.4169871834286966
0.4,0.08,7.0,0.08,29,0.49010220561947604,0.2906048798880902,0.03648284890009863,20.533193202512372,0.4163568892546852
0.4,0.1,7.0,0.08,29,0.49010220561947604,0.2906048798880902,0.03648284890009863,20.533193202512372,0.4163568892546852
0.55,0.08,10.0,0.08,2,0.5598884150122407,0.45448328897939255,0.06406406406406405,15.946986305960648,0.41622426549001657
0.55,0.1,10.0,0.08,2,0.5598884150122407,0.45448328897939255,0.06406406406406405,15.946986305960648,0.41622426549001657
0.4,0.08,3.0,0.12,39,0.5022654762992249,0.32346067651002214,0.04139627063745471,18.049550408524752,0.4161518652420666
0.4,0.1,7.0,0.18,36,0.49529468737476023,0.32121122960460613,0.03882647276074133,21.78031963929398,0.41590470215873465
0.55,0.08,7.0,0.08,3,0.5616131889040163,0.45076349484999656,0.06493159826493157,13.613652972627314,0.415609290405861
0.55,0.1,7.0,0.08,3,0.5616131889040163,0.45076349484999656,0.06493159826493157,13.613652972627314,0.415609290405861
0.4,0.08,7.0,0.12,33,0.4919651928089257,0.3087528571299705,0.03777998585319894,20.613652972627317,0.41537298536728556
0.4,0.1,7.0,0.12,33,0.4919651928089257,0.3087528571299705,0.03777998585319894,20.613652972627317,0.41537298536728556
