max_open_positions,positions_file,optimized_file,report_file,enforce_optimizer_entries,block_on_risk_breach,timestamp,allow_new_entries,block_reasons,risk_status,risk_breach_count,open_positions,optimizer_selected
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-12T23:22:34.450272+00:00,True,,OK,0,0,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-12T23:38:04.076006+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-12T23:53:36.557521+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T00:09:06.154347+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T00:24:35.577215+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T00:40:05.578381+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T00:55:35.665840+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T01:11:05.610984+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T01:26:35.207470+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T01:42:05.352586+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T01:57:35.531605+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T02:13:05.370084+00:00,False,portfolio_risk_breach,BREACH,1,4,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T02:28:35.693367+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T02:44:05.450461+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T02:59:37.972804+00:00,False,portfolio_risk_breach,BREACH,1,4,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T03:15:08.436842+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T03:30:39.260242+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T03:46:10.310451+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T04:01:41.545991+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T04:17:12.710017+00:00,False,portfolio_risk_breach,BREACH,1,4,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T04:32:43.643634+00:00,True,,OK,0,2,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T04:48:15.727330+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T05:03:47.958736+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T05:19:20.373734+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T05:34:52.235846+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T05:50:26.542217+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T06:05:58.583931+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T06:21:33.714840+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T09:16:41.486447+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T09:52:54.990028+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T10:08:09.232146+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T10:23:27.116294+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T13:21:45.562135+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T13:37:18.401848+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T13:52:56.495097+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T14:08:14.645261+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T14:23:51.132367+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T15:52:54.263887+00:00,True,,OK,0,3,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T16:21:19.279338+00:00,True,,OK,0,1,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T16:49:28.661174+00:00,True,,OK,0,1,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-13T17:29:52.958745+00:00,True,,OK,0,1,2
8,outputs/paper_open_positions.csv,outputs/optimized_trade_list.csv,outputs/scheduler_risk_guard_report.csv,True,True,2026-05-14T06:48:25.473685+00:00,True,,OK,0,1,2
