instrument_name,option_type,spot_price,strike,days_to_expiry,entry_price_usd,quantity,capital_at_risk,model_price_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,combined_score,classification,risk_reason
ETH-22MAY26-2600-C,call,2289.23,2600.0,13.733143019201387,10.6449195,9.39415276930934,100.0,24.303827238556778,-0.5620064529132112,0.5023,0.6377858976200157,-0.13548589762001573,0.6974923505332269,cheap,Trade approved under risk rules.
ETH-22MAY26-2500-C,call,2289.15,2500.0,13.733152424837964,21.1746375,4.675404714720618,99.0,42.204219687513955,-0.49828150699669305,0.4844,0.6377858976200157,-0.1533858976200157,0.6516674046167088,cheap,Trade approved under risk rules.
ETH-22MAY26-2450-C,call,2289.13,2450.0,13.733160579108796,29.75869,3.293491749804847,98.01,54.59538956176789,-0.4549230211768752,0.4771,0.6377858976200157,-0.16068589762001567,0.615608918796891,cheap,Trade approved under risk rules.
ETH-29MAY26-2550-C,call,2290.24,2550.0,20.733082401701388,29.200559999999996,3.322878054393478,97.0299,53.0674733052341,-0.4497465550687918,0.5022,0.6377858976200157,-0.13558589762001572,0.5853324526888075,cheap,Trade approved under risk rules.
ETH-22MAY26-2400-C,call,2289.13,2400.0,13.733170886979169,41.20434,2.331298135099361,96.059601,69.73593417407437,-0.40913762053941943,0.473,0.6377858976200157,-0.16478589762001572,0.5739235181594351,cheap,Trade approved under risk rules.
ETH-29MAY26-2500-C,call,2290.24,2500.0,20.73308797420139,38.36152,2.4790207736815435,95.09900499,65.10040645511424,-0.41073301859567196,0.4989,0.6377858976200157,-0.13888589762001569,0.5496189162156877,cheap,Trade approved under risk rules.
ETH-22MAY26-2100-P,put,2288.81,2100.0,13.733206682175927,22.8881,4.113404561326628,94.1480149401,38.15410043957979,-0.4001142803446455,0.5073,0.6377858976200157,-0.13048589762001572,0.5306001779646612,cheap,Trade approved under risk rules.
ETH-22MAY26-2150-P,put,2288.81,2150.0,13.733201031006946,32.615542500000004,2.857733695237447,93.20653479069901,52.691376390948335,-0.38100796118882724,0.4925,0.6377858976200157,-0.1452858976200157,0.5262938588088429,cheap,Trade approved under risk rules.
ETH-29MAY26-2450-C,call,2290.3,2450.0,20.733093484583335,49.24145,1.8739186080586987,92.27446944279201,79.29122030250699,-0.37897979357440775,0.4953,0.6377858976200157,-0.14248589762001568,0.5214656911944234,cheap,Trade approved under risk rules.
ETH-22MAY26-2350-C,call,2289.07,2350.0,13.733181181817129,57.22675,1.596311598131365,91.35172474836409,87.90052998548651,-0.34896012561643414,0.4715,0.6377858976200157,-0.16628589762001572,0.5152460232364499,cheap,Trade approved under risk rules.
