instrument_name,spot_shock,iv_shock,days_forward,scenario_price,scenario_value,scenario_pnl
ETH-29MAY26-2300-P,-0.2,-0.1,0,453.5397439442447,290.9852086309344,233.50280359403672
ETH-29MAY26-2300-P,-0.2,-0.1,1,453.7513524025551,291.120973869178,233.63856883228033
ETH-29MAY26-2300-P,-0.2,-0.1,3,454.19959533751125,291.4085607139631,233.92615567706542
ETH-29MAY26-2300-P,-0.2,-0.1,7,455.16653044759505,292.0289337209534,234.54652868405572
ETH-29MAY26-2300-P,-0.2,0.0,0,454.43959573944403,291.5625418544483,234.08013681755062
ETH-29MAY26-2300-P,-0.2,0.0,1,454.4695147807015,291.581737522697,234.09933248579932
ETH-29MAY26-2300-P,-0.2,0.0,3,454.61632787618487,291.6759308977857,234.19352586088803
ETH-29MAY26-2300-P,-0.2,0.0,7,455.24038239632546,292.0763161719867,234.59391113508906
ETH-29MAY26-2300-P,-0.2,0.1,0,456.860213170582,293.115578556568,235.63317351967032
ETH-29MAY26-2300-P,-0.2,0.1,1,456.52704193661293,292.90182022045565,235.419415183558
ETH-29MAY26-2300-P,-0.2,0.1,3,456.0078954078531,292.56874255086166,235.086337513964
ETH-29MAY26-2300-P,-0.2,0.1,7,455.64398922636974,292.33526507164424,234.85286003474658
ETH-29MAY26-2300-P,-0.2,0.2,0,461.13535801835474,295.858455960515,238.37605092361736
ETH-29MAY26-2300-P,-0.2,0.2,1,460.29935954810753,295.3220902008917,237.83968516399403
ETH-29MAY26-2300-P,-0.2,0.2,3,458.80338819432404,294.3622944116607,236.87988937476302
ETH-29MAY26-2300-P,-0.2,0.2,7,456.7366633468557,293.03631059446906,235.5539055575714
ETH-29MAY26-2300-P,-0.1,-0.1,0,231.2092493517655,148.3408511786257,90.85844614172807
ETH-29MAY26-2300-P,-0.1,-0.1,1,230.50882836754226,147.89147017300266,90.40906513610501
ETH-29MAY26-2300-P,-0.1,-0.1,3,229.19370222331804,147.04770232120416,89.56529728430651
ETH-29MAY26-2300-P,-0.1,-0.1,7,227.08674948006978,145.69590880860522,88.21350377170758
ETH-29MAY26-2300-P,-0.1,0.0,0,240.72931623022896,154.44880243052458,96.96639739362693
ETH-29MAY26-2300-P,-0.1,0.0,1,239.3289115465534,153.55032097550756,96.06791593860991
ETH-29MAY26-2300-P,-0.1,0.0,3,236.56154173318419,151.77481244895782,94.29240741206017
ETH-29MAY26-2300-P,-0.1,0.0,7,231.3685684977902,148.4430682732991,90.96066323640146
ETH-29MAY26-2300-P,-0.1,0.1,0,252.62459678013556,162.08065992207793,104.59825488518028
ETH-29MAY26-2300-P,-0.1,0.1,1,250.517873361297,160.72901354104152,103.24660850414388
ETH-29MAY26-2300-P,-0.1,0.1,3,246.2619700617572,157.99848126450985,100.5160762276122
ETH-29MAY26-2300-P,-0.1,0.1,7,237.7391864978681,152.53037403340588,95.04796899650823
