instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct,model_price_usd,theoretical_price,price_diff_pct,volatility_spread,classification,combined_score,historical_volatility_used,same_expiry_iv_percentile,surface_iv_zscore,surface_relative_value_score,term_bucket,institutional_edge_score,candidate_explanation,optimizer_risk_adjusted_score,optimizer_reject_reason
ETH-17MAY26-2275-P,put,2026-05-17,2275.0,3.049874001041667,2267.11,2267.11,0.0034802016664388,0.0034802016664388,37.634026000000006,36.27376,38.540870000000005,44.208645,37.634026000000006,40.69,0.4069,-0.52981,0.00472,0.82446,-5.49972,70.0,72.0,0.0606060606060606,57.26583734109295,57.26583734109295,-0.3428188995851022,-0.2408031170848439,cheap,0.5836220166699462,0.647703117084844,0.0326086956521739,-1.4178228904161283,0.8214107890910941,front_week,0.5558881112374967,ETH-17MAY26-2275-P: model_edge=-34.28%; vol_spread=-24.08%; surface_score=0.82; spread=6.06%,0.4922932246467417,dte_below_optimizer_minimum;spread_above_dte_bucket_limit;open_interest_below_minimum
ETH-17MAY26-2275-C,call,2026-05-17,2275.0,3.049874001041667,2267.11,2267.11,0.0034802016664388,0.0034802016664388,30.152563,28.338875,31.73954,31.73954,30.152563,40.69,0.4069,0.47019,0.00472,0.82446,-5.49972,117.0,171.0,0.1132075471698113,50.136089828834656,50.136089828834656,-0.3985856674714503,-0.2408031170848439,cheap,0.6393887845562943,0.647703117084844,0.0326086956521739,-1.4178228904161283,0.7913527967689509,front_week,0.5509251644642101,ETH-17MAY26-2275-C: model_edge=-39.86%; vol_spread=-24.08%; surface_score=0.79; spread=11.32%,0.458337136846518,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-29MAY26-2500-C,call,2026-05-29,2500.0,15.049874001041667,2267.11,2267.11,0.1027254963367458,0.1027254963367458,20.177279,19.270435000000003,21.537545,21.537545,20.177279,48.64,0.4864,0.17541,0.00115,1.18935,-1.92209,25111.0,77.0,0.111111111111111,42.3516408521989,42.3516408521989,-0.5235773964362848,-0.1613031170848439,cheap,0.6848805135211287,0.647703117084844,0.1826923076923076,-0.5847571417721903,0.650750291362629,front_month,0.549069288743391,ETH-29MAY26-2500-C: model_edge=-52.36%; vol_spread=-16.13%; surface_score=0.65; spread=11.11%,0.497618928263695,spread_above_dte_bucket_limit
ETH-22MAY26-2500-C,call,2026-05-22,2500.0,8.049874001041667,2267.11,2267.11,0.1027254963367458,0.1027254963367458,7.481463000000001,7.254752000000001,8.161596,8.615018000000001,7.481463000000001,49.4,0.494,0.0986,0.00104,0.58511,-1.7952,9904.0,1949.0,0.1176470588235292,18.788746999483124,18.788746999483124,-0.6018114991805565,-0.1537031170848439,cheap,0.7555146162654005,0.647703117084844,0.5166666666666667,-0.5051181519647195,0.5234878559734084,front_month,0.5473779056828288,ETH-22MAY26-2500-C: model_edge=-60.18%; vol_spread=-15.37%; surface_score=0.52; spread=11.76%,0.43122419322128835,spread_above_dte_bucket_limit
ETH-22MAY26-2400-C,call,2026-05-22,2400.0,8.049874001041667,2267.11,2267.11,0.0586164764832759,0.0586164764832759,19.043724,18.13688,20.40399,19.270435000000003,19.043724,46.8,0.4679999999999999,0.21835,0.00187,0.99309,-2.88658,4807.0,5585.0,0.1176470588235293,38.85925054581526,38.85925054581526,-0.5099307440953512,-0.179703117084844,cheap,0.6896338611801952,0.647703117084844,0.25,-0.7775673276218573,0.6483470912488638,front_month,0.5450463747133503,ETH-22MAY26-2400-C: model_edge=-50.99%; vol_spread=-17.97%; surface_score=0.65; spread=11.76%,0.4744006006869669,spread_above_dte_bucket_limit
ETH-29MAY26-2650-C,call,2026-05-29,2650.0,15.049874001041667,2267.11,2267.11,0.1688890261169506,0.1688890261169506,7.481463000000001,7.028041,7.934885,7.934885,7.481463000000001,51.0,0.51,0.07382,0.0006,0.6443,-1.09178,8486.0,123.0,0.1212121212121212,19.028807127111804,19.028807127111804,-0.6068348924856889,-0.1377031170848439,cheap,0.7445380095705328,0.647703117084844,0.4134615384615384,-0.3374571207910967,0.5303680137835936,front_month,0.5450305882418596,ETH-29MAY26-2650-C: model_edge=-60.68%; vol_spread=-13.77%; surface_score=0.53; spread=12.12%,0.4948289443998283,abs_moneyness_too_high;spread_above_dte_bucket_limit
ETH-29MAY26-2700-C,call,2026-05-29,2700.0,15.049874001041667,2267.11,2267.11,0.1909435360436855,0.1909435360436855,5.441064,5.214353,5.894486,5.894486,5.441064,52.15,0.5215,0.05588,0.00047,0.51894,-0.89908,18493.0,37.0,0.1224489795918366,14.281151129597731,14.281151129597731,-0.6190038218471494,-0.126203117084844,cheap,0.7452069389319934,0.647703117084844,0.4903846153846153,-0.2169507546350559,0.4882850614785193,front_month,0.5360057862155132,ETH-29MAY26-2700-C: model_edge=-61.90%; vol_spread=-12.62%; surface_score=0.49; spread=12.24%,0.4471190235892897,abs_moneyness_too_high;spread_above_dte_bucket_limit
ETH-17MAY26-2250-C,call,2026-05-17,2250.0,3.049874001041667,2267.11,2267.11,-0.0075470532969287,0.0075470532969287,43.07509,41.941535,45.342200000000005,35.140205,43.07509,40.94,0.4094,0.5875,0.00459,0.8068,-5.4152,407.0,487.0,0.077922077922078,62.73651805447298,62.73651805447298,-0.3133968646044607,-0.2383031170848439,cheap,0.5516999816893047,0.647703117084844,0.0760869565217391,-1.3916258542952498,0.7933020740795175,front_week,0.5274498664650208,ETH-17MAY26-2250-C: model_edge=-31.34%; vol_spread=-23.83%; surface_score=0.79; spread=7.79%,0.5243970491332354,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-26JUN26-2800-C,call,2026-06-26,2800.0,43.049874001041665,2267.11,2267.11,0.2350525558971552,0.2350525558971552,27.658742000000004,27.20532,28.338875,26.071765000000003,27.658742000000004,52.53,0.5253,0.14292,0.00055,1.76148,-1.0746,18008.0,752.0,0.0408163265306122,53.13888859893609,53.13888859893609,-0.4795009318174982,-0.1224031170848439,cheap,0.6019040489023422,0.647703117084844,0.359375,-0.1771312597313202,0.5686455619711624,mid_curve,0.5271650335658555,ETH-26JUN26-2800-C: model_edge=-47.95%; vol_spread=-12.24%; surface_score=0.57; spread=4.08%,0.449641523630424,dte_above_optimizer_maximum;abs_moneyness_too_high
ETH-29MAY26-2550-C,call,2026-05-29,2550.0,15.049874001041667,2267.11,2267.11,0.1247800062634807,0.1247800062634807,14.509504000000002,13.60266,15.86977,13.60266,14.509504000000002,49.39,0.4939,0.13245,0.00094,0.98726,-1.61994,17001.0,5237.0,0.1538461538461538,32.77931354652526,32.77931354652526,-0.5573579056374698,-0.1538031170848439,cheap,0.7111610227223137,0.647703117084844,0.2980769230769231,-0.5061660334095546,0.5749854905424224,front_month,0.5247642993638543,ETH-29MAY26-2550-C: model_edge=-55.74%; vol_spread=-15.38%; surface_score=0.57; spread=15.38%,0.48672242884862615,abs_moneyness_too_high;spread_above_dte_bucket_limit
ETH-26JUN26-2700-C,call,2026-06-26,2700.0,43.049874001041665,2267.11,2267.11,0.1909435360436855,0.1909435360436855,39.221003,38.540870000000005,40.80798,40.80798,39.221003,52.01,0.5201,0.19047,0.00067,2.12094,-1.28116,7506.0,21.0,0.057142857142857,69.99335200193855,69.99335200193855,-0.4396467396087312,-0.1276031170848439,cheap,0.5672498566935752,0.647703117084844,0.234375,-0.2316210948627474,0.6164287394720022,mid_curve,0.5157393568990155,ETH-26JUN26-2700-C: model_edge=-43.96%; vol_spread=-12.76%; surface_score=0.62; spread=5.71%,0.3652814570453207,dte_above_optimizer_maximum;abs_moneyness_too_high
ETH-26JUN26-2900-C,call,2026-06-26,2900.0,43.049874001041665,2267.11,2267.11,0.2791615757506251,0.2791615757506251,19.723857,19.270435000000003,20.40399,17.003325,19.723857,53.19,0.5318999999999999,0.10677,0.00044,1.43628,-0.88728,14139.0,70.0,0.057142857142857,40.0069843218788,40.0069843218788,-0.5069896585728527,-0.115803117084844,cheap,0.6227927756576968,0.647703117084844,0.484375,-0.1079710843722015,0.5009809639897354,mid_curve,0.5136417265623034,ETH-26JUN26-2900-C: model_edge=-50.70%; vol_spread=-11.58%; surface_score=0.50; spread=5.71%,0.3987424049106359,dte_above_optimizer_maximum;abs_moneyness_too_high
ETH-26JUN26-2600-C,call,2026-06-26,2600.0,43.049874001041665,2267.11,2267.11,0.1468345161902156,0.1468345161902156,55.770906,54.41064,56.67775,56.67775,55.770906,51.76,0.5176,0.25178,0.00079,2.48923,-1.49652,15958.0,21.0,0.0408163265306122,91.35857141029317,91.35857141029317,-0.3895383307874665,-0.130103117084844,cheap,0.5196414478723106,0.647703117084844,0.171875,-0.2578181309836266,0.6586380758502426,mid_curve,0.5114899915721114,ETH-26JUN26-2600-C: model_edge=-38.95%; vol_spread=-13.01%; surface_score=0.66; spread=4.08%,0.38807150683292624,dte_above_optimizer_maximum;abs_moneyness_too_high
ETH-17MAY26-2300-P,put,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.0145074566298062,0.0145074566298062,52.823663,51.009975,54.41064,62.345525,52.823663,40.97,0.4097,-0.64275,0.00439,0.77326,-5.19394,2503.0,2504.0,0.064516129032258,71.4961368487061,71.4961368487061,-0.261167591309432,-0.2380031170848439,cheap,0.4991707083942759,0.647703117084844,0.1195652173913043,-1.388482209960744,0.7840911739701396,front_week,0.5072993751219791,ETH-17MAY26-2300-P: model_edge=-26.12%; vol_spread=-23.80%; surface_score=0.78; spread=6.45%,0.5443653725978712,dte_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-26JUN26-2500-C,call,2026-06-26,2500.0,43.049874001041665,2267.11,2267.11,0.1027254963367458,0.1027254963367458,78.66871700000002,77.08174000000001,79.34885000000001,78.21529500000001,78.66871700000002,51.74,0.5174,0.32688,0.00089,2.81536,-1.69186,66557.0,47.0,0.0289855072463768,118.07595713957517,118.07595713957517,-0.333744829127175,-0.130303117084844,cheap,0.464047946212019,0.647703117084844,0.046875,-0.2599138938732966,0.7181449948908294,mid_curve,0.5063899967069421,ETH-26JUN26-2500-C: model_edge=-33.37%; vol_spread=-13.03%; surface_score=0.72; spread=2.90%,0.4392522414764658,dte_above_optimizer_maximum
ETH-22MAY26-2150-P,put,2026-05-22,2150.0,8.049874001041667,2267.11,2267.11,-0.0516560731503985,0.0516560731503985,20.857412,19.270435000000003,21.537545,22.671100000000003,20.857412,48.37,0.4836999999999999,-0.21737,0.0018,0.99052,-2.97599,2243.0,332.0,0.111111111111111,38.13187824472732,38.13187824472732,-0.4530190234496498,-0.164003117084844,cheap,0.6170221405344938,0.647703117084844,0.45,-0.6130499407827401,0.5697642169430852,front_month,0.4978815022945193,ETH-22MAY26-2150-P: model_edge=-45.30%; vol_spread=-16.40%; surface_score=0.57; spread=11.11%,0.46249505505231187,spread_above_dte_bucket_limit
ETH-26JUN26-3000-C,call,2026-06-26,3000.0,43.049874001041665,2267.11,2267.11,0.3232705956040951,0.3232705956040951,14.056082,13.60266,14.736215,14.736215,14.056082,53.93,0.5393,0.07969,0.00035,1.15681,-0.72465,10829.0,17.0,0.0799999999999999,29.89051658289304,29.89051658289304,-0.5297477726415546,-0.1084031170848439,cheap,0.6381508897263986,0.647703117084844,0.609375,-0.0304278574544002,0.428885999952762,mid_curve,0.493843218516629,ETH-26JUN26-3000-C: model_edge=-52.97%; vol_spread=-10.84%; surface_score=0.43; spread=8.00%,0.3194372874066518,dte_above_optimizer_maximum;abs_moneyness_too_high;volume_below_minimum
ETH-26JUN26-2400-C,call,2026-06-26,2400.0,43.049874001041665,2267.11,2267.11,0.0586164764832759,0.0586164764832759,109.047991,108.82128,109.954835,99.75284,109.047991,51.75,0.5175,0.41343,0.00096,3.0397,-1.827,15346.0,170.0,0.0103626943005181,150.99464133289973,150.99464133289973,-0.2778022449182116,-0.130203117084844,cheap,0.4080053620030556,0.647703117084844,0.109375,-0.2588660124284616,0.7156460828054205,mid_curve,0.4885423113397815,ETH-26JUN26-2400-C: model_edge=-27.78%; vol_spread=-13.02%; surface_score=0.72; spread=1.04%,0.5412564066018596,dte_above_optimizer_maximum
ETH-29MAY26-2350-P,put,2026-05-29,2350.0,15.049874001041667,2267.11,2267.11,0.036561966556541,0.036561966556541,136.480022,132.62593500000003,138.29371,136.0266,136.480022,48.22,0.4821999999999999,-0.62176,0.00171,1.75165,-2.80627,17079.0,152.0,0.0418410041841002,164.52218141163848,164.52218141163848,-0.170446070985871,-0.165503117084844,cheap,0.335949188070715,0.647703117084844,0.0288461538461538,-0.6287681624552672,0.761079654465753,front_month,0.4486897217494904,ETH-29MAY26-2350-P: model_edge=-17.04%; vol_spread=-16.55%; surface_score=0.76; spread=4.18%,0.6269691249701892,edge_score_below_optimizer_minimum
ETH-22MAY26-2100-P,put,2026-05-22,2100.0,8.049874001041667,2267.11,2267.11,-0.0737105830771335,0.0737105830771335,12.922527,11.33555,13.60266,17.003325,12.922527,50.48,0.5047999999999999,-0.14332,0.00133,0.76175,-2.38818,3608.0,1211.0,0.1818181818181817,24.970733448409987,24.970733448409987,-0.4824930942978432,-0.142903117084844,cheap,0.6253962113826872,0.647703117084844,0.5833333333333334,-0.3919469559225251,0.4598573591486798,front_month,0.4470350894245747,ETH-22MAY26-2100-P: model_edge=-48.25%; vol_spread=-14.29%; surface_score=0.46; spread=18.18%,0.420101979977599,edge_score_below_optimizer_minimum;spread_above_dte_bucket_limit
ETH-26JUN26-2300-C,call,2026-06-26,2300.0,43.049874001041665,2267.11,2267.11,0.0145074566298062,0.0145074566298062,149.175838,148.49570500000002,150.76281500000002,150.76281500000002,149.175838,52.13,0.5213,0.50873,0.00098,3.11255,-1.88444,8674.0,69.0,0.0151515151515151,190.9072911745508,190.9072911745508,-0.2185953868906703,-0.1264031170848439,cheap,0.3449985039755143,0.647703117084844,0.296875,-0.2190465175247259,0.6527881264764239,mid_curve,0.4429923843518543,ETH-26JUN26-2300-C: model_edge=-21.86%; vol_spread=-12.64%; surface_score=0.65; spread=1.52%,0.5382622243836629,edge_score_below_optimizer_minimum;dte_above_optimizer_maximum
