line_number,text
1062,"Finished option-chain refresh. Rows=148, failures=0"
1142,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=25s
1143,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=20s
1144,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=15s
1145,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=10s
1147,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
1148,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1149,"Finished option-chain refresh. Rows=148, failures=0"
1229,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=24s
1230,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=19s
1231,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
1232,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
1234,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=4s
1235,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1236,"Finished option-chain refresh. Rows=148, failures=0"
1312,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=34s
1313,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=26s
1314,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=19s
1315,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=12s
1317,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=6s
1318,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1319,"Finished option-chain refresh. Rows=148, failures=0"
1395,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=32s
1396,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=24s
1397,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=19s
1398,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=13s
1400,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=6s
1401,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1402,"Finished option-chain refresh. Rows=148, failures=0"
1478,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=27s
1479,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=20s
1480,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=15s
1481,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=10s
1483,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
1484,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1485,"Finished option-chain refresh. Rows=148, failures=0"
1561,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=25s
1562,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=20s
1563,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=15s
1564,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
1566,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=5s
1567,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1568,"Finished option-chain refresh. Rows=148, failures=0"
1643,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=23s
1644,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=18s
1645,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=14s
1646,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=9s
1648,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=4s
1649,Option-chain progress: 148/148 (100.0%) | failures=0 | ETA=0s
1650,"Finished option-chain refresh. Rows=148, failures=0"
1725,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=10s
1726,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=8s
1727,Option-chain progress: 75/148 ( 50.7%) | failures=1 | ETA=520s
1728,Option-chain progress: 100/148 ( 67.6%) | failures=1 | ETA=257s
1730,Option-chain progress: 125/148 ( 84.5%) | failures=1 | ETA=99s
1731,Option-chain progress: 148/148 (100.0%) | failures=1 | ETA=0s
1732,"Finished option-chain refresh. Rows=148, failures=1"
1808,Option-chain progress: 25/148 ( 16.9%) | failures=0 | ETA=11s
1809,Option-chain progress: 50/148 ( 33.8%) | failures=0 | ETA=9s
1810,Option-chain progress: 75/148 ( 50.7%) | failures=0 | ETA=7s
1811,Option-chain progress: 100/148 ( 67.6%) | failures=0 | ETA=4s
1813,Option-chain progress: 125/148 ( 84.5%) | failures=0 | ETA=2s
