entry_date,exit_date,option_type,entry_spot_price,exit_spot_price,strike_price,entry_option_price,exit_option_price,quantity,holding_days,close_reason,pnl
2021-04-01 00:00:00,2021-04-02 00:00:00,call,1977.27685546875,2143.2255859375,2000.0,135.83343458478774,237.7758893968823,0.7361957702510984,1,take_profit,75.04960404167774
2021-04-02 00:00:00,2021-04-03 00:00:00,call,2143.2255859375,2028.4224853515625,2150.0,160.5901324742543,107.28873078316774,0.6273766294860554,1,stop_loss,-33.440053739836216
2021-04-03 00:00:00,2021-04-04 00:00:00,call,2028.4224853515625,2093.122802734375,2050.0,150.17542364662947,210.4865503405591,0.6686586464327391,1,take_profit,40.32755633999642
2021-04-05 00:00:00,2021-04-07 00:00:00,call,2107.88720703125,1971.0772705078125,2100.0,163.0136805498199,93.85001329015226,0.6184718406845995,2,stop_loss,-42.77578059858381
2021-04-07 00:00:00,2021-04-08 00:00:00,call,1971.0772705078125,2088.57373046875,1950.0,161.28983282055688,260.8621511153652,0.6224298922308594,1,take_profit,61.97678734541436
2021-04-09 00:00:00,2021-04-13 00:00:00,call,2072.10888671875,2299.187744140625,2050.0,171.44324575626902,307.8366650882444,0.589182622437566,4,take_profit,80.36063248523986
2021-04-13 00:00:00,2021-04-14 00:00:00,call,2299.187744140625,2435.10498046875,2300.0,170.93410366801552,250.28099659748798,0.595638817965091,1,take_profit,47.26208951371361
2021-04-14 00:00:00,2021-04-18 00:00:00,call,2435.10498046875,2237.136962890625,2450.0,175.55017347801714,114.11275980288283,0.5826687967738462,4,stop_loss,-35.79766390298755
2021-07-25 00:00:00,2021-07-29 00:00:00,call,2191.373779296875,2380.956787109375,2200.0,183.94590027377222,277.78203219981435,0.5541283147009062,4,take_profit,51.99725764222962
2021-07-29 00:00:00,2021-08-01 00:00:00,call,2380.956787109375,2561.85205078125,2400.0,183.6769414555066,270.2664691953575,0.5577706351130948,3,take_profit,48.29709588159957
2021-08-01 00:00:00,2021-08-04 00:00:00,call,2561.85205078125,2724.619873046875,2550.0,198.9926224508448,294.28132612037746,0.5172682986049447,3,take_profit,49.28982562340991
2021-08-04 00:00:00,2021-08-06 00:00:00,call,2724.619873046875,2890.941650390625,2700.0,223.67422481429963,316.63154677498085,0.4623933472539598,2,take_profit,42.98284725316341
2021-08-06 00:00:00,2021-08-07 00:00:00,call,2890.941650390625,3157.23876953125,2900.0,217.5277599289985,372.55575576585375,0.4774347054038019,1,take_profit,74.01574552171081
2021-08-07 00:00:00,2021-08-12 00:00:00,call,3157.23876953125,3043.414306640625,3150.0,236.37514950473096,156.67571566750215,0.4424976976354023,5,stop_loss,-35.26681597581882
2021-08-12 00:00:00,2021-08-13 00:00:00,call,3043.414306640625,3322.211669921875,3050.0,220.00181588215884,402.81700237614746,0.47382695845631373,1,take_profit,86.62276377607039
2021-08-13 00:00:00,2021-08-16 00:00:00,call,3322.211669921875,3156.509521484375,3300.0,267.4258128291482,171.71527818241086,0.39303991563156077,3,stop_loss,-37.618060462605214
2021-08-16 00:00:00,2021-08-18 00:00:00,call,3156.509521484375,3020.08984375,3150.0,248.7175983143266,171.93278607367637,0.42109138644497396,2,stop_loss,-32.33342304433242
2021-08-18 00:00:00,2021-08-20 00:00:00,call,3020.08984375,3286.935302734375,3000.0,245.37855384091944,391.58505415838516,0.42550378768916364,2,take_profit,62.21141966985857
2021-08-20 00:00:00,2021-08-26 00:00:00,call,3286.935302734375,3100.325439453125,3300.0,229.63868275069558,130.81695921637234,0.45737772493550427,6,stop_loss,-45.19885508433414
2021-08-26 00:00:00,2021-08-27 00:00:00,call,3100.325439453125,3270.600830078125,3100.0,236.50531315816542,337.5737708886623,0.4421872317638678,1,take_profit,44.6911815424919
2021-08-27 00:00:00,2021-09-01 00:00:00,call,3270.600830078125,3834.828125,3250.0,263.4309428927625,699.494882103118,0.3986871868011153,5,take_profit,173.8531051891892
2021-10-24 00:00:00,2021-10-28 00:00:00,call,4087.903076171875,4287.31884765625,4100.0,264.21881850338684,417.4205394038163,0.4040782302900355,4,take_profit,61.90548025883347
