option_type,position_delta,position_gamma,position_vega,position_theta
call,0.7898244324426495,0.002833459843211022,3.166899286622896,-4.703021923698651
put,-0.30238637409625857,0.001103529658707782,1.2347021230815063,-1.83959677280609
