timestamp,cash,open_current_value,unrealized_pnl,equity,open_positions
2026-05-12T23:22:34.461682+00:00,9867.285543835926,132.71445616407402,0.0,10000.0,2
2026-05-12T23:38:04.086754+00:00,9867.285543835926,132.71445616407402,0.0,10000.0,2
2026-05-12T23:53:36.567675+00:00,9867.285543835926,132.7151621077128,0.0007059436387443,10000.00070594364,2
2026-05-13T00:09:06.164096+00:00,9867.285543835926,132.70483931858567,-0.0096168454883729,9999.99038315451,2
2026-05-13T00:24:35.588247+00:00,9867.285543835926,132.44956548620965,-0.2648906778643944,9999.735109322137,2
2026-05-13T00:40:05.588318+00:00,9867.285543835926,132.9134601280494,0.1990039639753764,10000.199003963977,2
2026-05-13T00:55:35.675962+00:00,9867.285543835926,132.9190687975804,0.2046126335063525,10000.204612633506,2
2026-05-13T01:11:05.620869+00:00,9867.285543835926,133.05243049266548,0.3379743285914433,10000.337974328591,2
2026-05-13T01:26:35.220256+00:00,9796.902340712397,203.660474077552,0.5628147899489029,10000.56281478995,3
2026-05-13T01:42:05.362597+00:00,9796.902340712397,204.002830852361,0.9051715647578776,10000.905171564758,3
2026-05-13T01:57:35.544710+00:00,9722.85917773649,278.0127310032847,0.8719087397765013,10000.871908739777,4
2026-05-13T02:13:05.378002+00:00,9722.85917773649,276.2967547835145,-0.8440674799937216,9999.155932520003,4
2026-05-13T02:28:35.707611+00:00,9656.831462824632,202.4335949758025,-3.038743813975574,9859.265057800434,3
2026-05-13T02:44:05.464630+00:00,9586.264740627686,273.7289339523743,-2.3101270343496982,9859.99367458006,4
2026-05-13T02:59:37.981745+00:00,9586.264740627686,273.7670131408593,-2.272047845864654,9860.031753768546,4
2026-05-13T03:15:08.451160+00:00,9519.694673360931,203.12682464102207,-2.887866503649959,9722.821498001951,3
2026-05-13T03:30:39.271964+00:00,9519.694673360931,202.93217034547536,-3.082520799196679,9722.626843706406,3
2026-05-13T03:46:10.322036+00:00,9519.694673360931,204.72848000940775,-1.2862111352642476,9724.42315337034,3
2026-05-13T04:01:41.558306+00:00,9448.86591773752,278.2306733788961,1.3872266108129163,9727.096591116417,4
2026-05-13T04:17:12.716736+00:00,9448.86591773752,277.5369251591536,0.693478391070439,9726.402842896672,4
2026-05-13T04:32:43.657921+00:00,9383.659592468775,193.96788963698216,-7.468652157186191,9577.627482105758,3
2026-05-13T04:48:15.735568+00:00,9383.659592468775,194.87674821859983,-6.559793575568481,9578.536340687377,3
2026-05-13T05:03:47.967541+00:00,9383.659592468775,193.5089900669171,-7.9275517272511715,9577.168582535693,3
2026-05-13T05:19:20.382854+00:00,9383.659592468775,193.96690145913388,-7.4696403350344385,9577.62649392791,3
2026-05-13T05:34:52.244511+00:00,9383.659592468775,191.1719619699808,-10.264579824187509,9574.831554438755,3
2026-05-13T05:50:26.550576+00:00,9383.659592468775,190.68412421141525,-10.752417582753068,9574.34371668019,3
2026-05-13T06:05:58.592434+00:00,9383.659592468775,190.2157237897413,-11.220818004427024,9573.875316258516,3
2026-05-13T06:21:33.723335+00:00,9383.659592468775,190.49014174180724,-10.946400052361083,9574.149734210583,3
2026-05-13T09:16:41.496544+00:00,9383.659592468775,191.54904062059825,-9.887501173570056,9575.208633089374,3
2026-05-13T09:52:54.997759+00:00,9383.659592468775,198.5452886535468,-2.8912531406214916,9582.204881122325,3
2026-05-13T10:08:09.240429+00:00,9383.659592468775,197.72126185361805,-3.715279940550256,9581.380854322391,3
2026-05-13T10:23:27.125068+00:00,9383.659592468775,196.16235169444363,-5.274190099724678,9579.82194416322,3
2026-05-13T13:21:45.570986+00:00,9383.659592468775,194.62574988520345,-6.810791908964839,9578.285342353978,3
2026-05-13T13:37:18.410865+00:00,9383.659592468775,181.79073096329975,-19.645810830868548,9565.450323432076,3
2026-05-13T13:52:56.504271+00:00,9383.659592468775,179.5075512565636,-21.92899053760471,9563.16714372534,3
2026-05-13T14:08:14.654219+00:00,9383.659592468775,174.4248041998532,-27.01173759431508,9558.084396668628,3
2026-05-13T14:23:51.141022+00:00,9383.659592468775,174.52277746029932,-26.913764333868983,9558.182369929074,3
2026-05-13T15:52:54.272525+00:00,9383.659592468775,174.9615594974461,-26.47498229672223,9558.62115196622,3
2026-05-13T16:21:19.287834+00:00,9476.2933348448,76.19349720756875,10.792036305555907,9552.48683205237,1
2026-05-13T16:49:28.670021+00:00,9476.2933348448,76.5778110350189,11.17635013300605,9552.87114587982,1
2026-05-13T17:29:52.967696+00:00,9476.2933348448,73.83236461901323,8.430903717000382,9550.125699463812,1
2026-05-14T06:48:25.482949+00:00,9476.2933348448,72.8840175353872,7.48255663337436,9549.177352380188,1
