instrument_name,institutional_edge_score,candidate_explanation
ETH-29MAY26-2200-P,0.48488657843267235,ETH-29MAY26-2200-P: model_edge=-30.41%; vol_spread=-15.39%; surface_score=0.67; spread=3.85%
ETH-29MAY26-2300-C,0.49960865030311463,ETH-29MAY26-2300-C: model_edge=-29.18%; vol_spread=-16.30%; surface_score=0.73; spread=3.03%
ETH-22MAY26-2250-C,0.49119083561609733,ETH-22MAY26-2250-C: model_edge=-26.21%; vol_spread=-18.67%; surface_score=0.75; spread=4.80%
ETH-22MAY26-2300-P,0.48960610868943394,ETH-22MAY26-2300-P: model_edge=-23.81%; vol_spread=-18.86%; surface_score=0.78; spread=4.32%
ETH-17MAY26-2325-P,0.4037155644101388,ETH-17MAY26-2325-P: model_edge=-19.15%; vol_spread=-23.31%; surface_score=0.70; spread=17.89%
ETH-29MAY26-2250-P,0.4771100771157833,ETH-29MAY26-2250-P: model_edge=-25.83%; vol_spread=-15.91%; surface_score=0.70; spread=2.86%
ETH-26JUN26-2400-C,0.4885423113397815,ETH-26JUN26-2400-C: model_edge=-27.78%; vol_spread=-13.02%; surface_score=0.72; spread=1.04%
ETH-29MAY26-2250-C,0.4685246930643927,ETH-29MAY26-2250-C: model_edge=-23.21%; vol_spread=-15.91%; surface_score=0.70; spread=2.30%
ETH-17MAY26-2200-C,0.3996799371049015,ETH-17MAY26-2200-C: model_edge=-15.82%; vol_spread=-21.82%; surface_score=0.67; spread=12.59%
ETH-29MAY26-2300-P,0.4689742490366598,ETH-29MAY26-2300-P: model_edge=-21.26%; vol_spread=-16.30%; surface_score=0.73; spread=2.15%
ETH-22MAY26-2200-C,0.4279953301845807,ETH-22MAY26-2200-C: model_edge=-18.09%; vol_spread=-17.92%; surface_score=0.67; spread=5.52%
ETH-17MAY26-2350-P,0.37377752776028783,ETH-17MAY26-2350-P: model_edge=-13.30%; vol_spread=-22.50%; surface_score=0.67; spread=16.35%
ETH-22MAY26-2350-P,0.4334357642994561,ETH-22MAY26-2350-P: model_edge=-16.70%; vol_spread=-18.65%; surface_score=0.71; spread=6.12%
ETH-26JUN26-2100-P,0.4115449315033732,ETH-26JUN26-2100-P: model_edge=-23.73%; vol_spread=-10.86%; surface_score=0.53; spread=2.53%
ETH-26JUN26-2300-C,0.4429923843518543,ETH-26JUN26-2300-C: model_edge=-21.86%; vol_spread=-12.64%; surface_score=0.65; spread=1.52%
ETH-29MAY26-2350-P,0.44868972174949046,ETH-29MAY26-2350-P: model_edge=-17.04%; vol_spread=-16.55%; surface_score=0.76; spread=4.18%
ETH-29MAY26-2200-C,0.43538984265592756,ETH-29MAY26-2200-C: model_edge=-17.91%; vol_spread=-15.39%; surface_score=0.68; spread=2.67%
ETH-26JUN26-2200-P,0.41937257255987026,ETH-26JUN26-2200-P: model_edge=-20.44%; vol_spread=-11.85%; surface_score=0.60; spread=1.77%
ETH-17MAY26-2175-C,0.36129861415714604,ETH-17MAY26-2175-C: model_edge=-10.47%; vol_spread=-20.16%; surface_score=0.62; spread=12.15%
ETH-29MAY26-2400-P,0.4321009604018985,ETH-29MAY26-2400-P: model_edge=-13.27%; vol_spread=-16.54%; surface_score=0.75; spread=3.32%
ETH-26JUN26-2300-P,0.42231302078138394,ETH-26JUN26-2300-P: model_edge=-16.97%; vol_spread=-12.64%; surface_score=0.65; spread=1.28%
ETH-22MAY26-2400-P,0.3934540196009435,ETH-22MAY26-2400-P: model_edge=-11.12%; vol_spread=-17.97%; surface_score=0.68; spread=6.90%
ETH-26JUN26-2200-C,0.400025840365334,ETH-26JUN26-2200-C: model_edge=-16.05%; vol_spread=-11.85%; surface_score=0.60; spread=1.70%
ETH-29MAY26-2150-C,0.39862629713178616,ETH-29MAY26-2150-C: model_edge=-13.28%; vol_spread=-14.62%; surface_score=0.63; spread=2.80%
ETH-22MAY26-2150-C,0.36316793106084283,ETH-22MAY26-2150-C: model_edge=-11.41%; vol_spread=-16.40%; surface_score=0.59; spread=8.00%
ETH-26JUN26-2400-P,0.42087407074558425,ETH-26JUN26-2400-P: model_edge=-13.25%; vol_spread=-13.02%; surface_score=0.71; spread=1.44%
ETH-26JUN26-2100-C,0.357279385433692,ETH-26JUN26-2100-C: model_edge=-11.20%; vol_spread=-10.86%; surface_score=0.53; spread=2.16%
