instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume,fitted_iv,surface_residual,surface_residual_zscore
ETH-17MAY26-2325-C,call,2026-05-17,2325.0,3.946986305960648,2320.35,38.053740000000005,0.417,0.0020040080160321,0.0020040080160321,front_week,-0.923484755376448,0.0375,-1.32859159139658,0.0098684210526315,0.7944429115992557,0.0923076923076925,0.49095,0.00396,0.96246,-5.08413,0.0,0.0,0.45878222674209956,-0.04178222674209958,-1.231565434594103
ETH-17MAY26-2325-P,put,2026-05-17,2325.0,3.946986305960648,2320.35,42.462405,0.417,0.0020040080160321,0.0020040080160321,front_week,-0.923484755376448,0.0375,-1.32859159139658,0.0098684210526315,0.815444132600477,0.0555555555555553,-0.50905,0.00396,0.96246,-5.08413,1.0,1.0,0.45878222674209956,-0.04178222674209958,-1.231565434594103
ETH-17MAY26-2300-C,call,2026-05-17,2300.0,3.946986305960648,2320.35,51.279735,0.4182,-0.0087702286293015,0.0087702286293015,front_week,-0.9017407799727049,0.0875,-1.3131071179540206,0.0230263157894736,0.8010725214629488,0.0454545454545454,0.58944,0.00385,0.93842,-4.97061,1.0,1.0,0.4618892806587791,-0.043689280658779084,-1.2877774143956313
ETH-17MAY26-2300-P,put,2026-05-17,2300.0,3.946986305960648,2320.35,30.62862,0.4182,-0.0087702286293015,0.0087702286293015,front_week,-0.9017407799727049,0.0875,-1.3131071179540206,0.0230263157894736,0.7830905034809309,0.0769230769230768,-0.41056,0.00385,0.93842,-4.97061,1.0,1.0,0.4618892806587791,-0.043689280658779084,-1.2877774143956313
ETH-17MAY26-2350-C,call,2026-05-17,2350.0,3.946986305960648,2320.35,27.612165,0.4196999999999999,0.0127782446613657,0.0127782446613657,front_week,-0.8745608107180286,0.1375,-1.2937515261508234,0.0361842105263157,0.7595129306279146,0.0833333333333333,0.3946,0.0038,0.92891,-4.93791,34.0,34.0,0.45613983521534784,-0.03643983521534794,-1.0740940584745948
ETH-17MAY26-2350-P,put,2026-05-17,2350.0,3.946986305960648,2320.35,57.08061,0.4196999999999999,0.0127782446613657,0.0127782446613657,front_week,-0.8745608107180286,0.1375,-1.2937515261508234,0.0361842105263157,0.7838083630866124,0.0408163265306122,-0.6054,0.0038,0.92891,-4.93791,0.0,0.0,0.45613983521534784,-0.03643983521534794,-1.0740940584745948
ETH-17MAY26-2275-C,call,2026-05-17,2275.0,3.946986305960648,2320.35,67.29015,0.4244,-0.0195444652746352,0.0195444652746352,front_week,-0.7893969070533687,0.2875,-1.2331040051674662,0.0756578947368421,0.5482247740423618,1.6712328767123288,0.68118,0.00349,0.86163,-4.63251,0.0,0.0,0.4654609969653864,-0.0410609969653864,-1.2103065948275524
ETH-17MAY26-2275-P,put,2026-05-17,2275.0,3.946986305960648,2320.35,21.81129,0.4244,-0.0195444652746352,0.0195444652746352,front_week,-0.7893969070533687,0.2875,-1.2331040051674662,0.0756578947368421,0.6880743981025121,0.1052631578947369,-0.31882,0.00349,0.86163,-4.63251,0.0,0.0,0.4654609969653864,-0.0410609969653864,-1.2103065948275524
ETH-17MAY26-2375-C,call,2026-05-17,2375.0,3.946986305960648,2320.35,19.49094,0.4219,0.0235524813066994,0.0235524813066994,front_week,-0.8346968558111657,0.1875,-1.265363324839464,0.0493421052631578,0.7178845567189797,0.1176470588235293,0.3061,0.00345,0.84663,-4.5242,38.0,38.0,0.45396210607852383,-0.03206210607852383,-0.9450568982436003
ETH-17MAY26-2375-P,put,2026-05-17,2375.0,3.946986305960648,2320.35,74.01916499999999,0.4219,0.0235524813066994,0.0235524813066994,front_week,-0.8346968558111657,0.1875,-1.265363324839464,0.0493421052631578,0.5851114474752821,1.689727463312369,-0.6939,0.00345,0.84663,-4.5242,0.0,0.0,0.45396210607852383,-0.03206210607852383,-0.9450568982436003
ETH-17MAY26-2250-C,call,2026-05-17,2250.0,3.946986305960648,2320.35,85.38888,0.4318,-0.0303187019199688,0.0303187019199688,front_week,-0.6553090587302894,0.3375,-1.1376164189383526,0.0888157894736842,0.5206126278608689,1.4545454545454546,0.76112,0.00298,0.74827,-4.0928,0.0,0.0,0.4694973756619213,-0.03769737566192127,-1.1111610955227482
ETH-17MAY26-2250-P,put,2026-05-17,2250.0,3.946986305960648,2320.35,15.082275,0.4318,-0.0303187019199688,0.0303187019199688,front_week,-0.6553090587302894,0.3375,-1.1376164189383526,0.0888157894736842,0.6748983421465833,0.0799999999999999,-0.23888,0.00298,0.74827,-4.0928,5.0,5.0,0.4694973756619213,-0.03769737566192127,-1.1111610955227482
ETH-17MAY26-2400-C,call,2026-05-17,2400.0,3.946986305960648,2320.35,13.45803,0.4243,0.0343267179520332,0.0343267179520332,front_week,-0.7912089050036804,0.2375,-1.234394377954346,0.0625,0.7131864135786665,0.0869565217391306,0.22935,0.00296,0.7316,-3.93211,17.0,17.0,0.45224903933162747,-0.027949039331627457,-0.8238208792319087
ETH-17MAY26-2400-P,put,2026-05-17,2400.0,3.946986305960648,2320.35,92.814,0.4243,0.0343267179520332,0.0343267179520332,front_week,-0.7912089050036804,0.2375,-1.234394377954346,0.0625,0.5628758545724555,1.6483516483516485,-0.77065,0.00296,0.7316,-3.93211,0.0,0.0,0.45224903933162747,-0.027949039331627457,-0.8238208792319087
ETH-17MAY26-2225-C,call,2026-05-17,2225.0,3.946986305960648,2320.35,105.80796,0.4439,-0.0410929385653026,0.0410929385653026,front_week,-0.4360573067425523,0.4875,-0.9814813117258832,0.1282894736842105,0.4529465215974297,1.2647058823529411,0.8248,0.00241,0.6225,-3.50041,0.0,0.0,0.4739984167483841,-0.030098416748384094,-0.8871755431351476
ETH-17MAY26-2225-P,put,2026-05-17,2225.0,3.946986305960648,2320.35,10.441574999999998,0.4439,-0.0410929385653026,0.0410929385653026,front_week,-0.4360573067425523,0.4875,-0.9814813117258832,0.1282894736842105,0.6135376546023559,0.0689655172413792,-0.1752,0.00241,0.6225,-3.50041,15.0,15.0,0.4739984167483841,-0.030098416748384094,-0.8871755431351476
ETH-17MAY26-2425-C,call,2026-05-17,2425.0,3.946986305960648,2320.35,9.2814,0.4342,0.0451009545973668,0.0451009545973668,front_week,-0.6118211079228052,0.3875,-1.106647472053235,0.1019736842105263,0.6270286945382259,0.1234567901234566,0.17041,0.00242,0.61161,-3.36402,73.0,73.0,0.4510006349746589,-0.016800634974658946,-0.495212508460553
