instrument_name,option_type,strike,days_to_expiry,unrealized_pnl_pct,highest_profit_pct,institutional_edge_score,surface_relative_value_score,exit_action,exit_reason,priority
ETH-29MAY26-2300-P,put,2300.0,16.06875683361111,-0.121083776354474,0.0354458801120993,0.487222042333827,0.7048902653629452,HOLD,none,LOW
ETH-29MAY26-2350-C,call,2350.0,16.06875683361111,-0.0026319391911829,0.0306712679511296,0.5096260430257171,0.7290663218695971,HOLD,none,LOW
ETH-29MAY26-2300-C,call,2300.0,16.06875683361111,-0.0273290715789049,0.0,0.4824376742564304,0.716715155370682,HOLD,none,LOW
