instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,market_price_usd,implied_volatility,moneyness,abs_moneyness,term_bucket,same_expiry_iv_zscore,same_expiry_iv_percentile,surface_iv_zscore,surface_iv_percentile,surface_relative_value_score,bid_ask_spread_pct,delta,gamma,vega,theta,open_interest,volume
ETH-17MAY26-2400-C,call,2026-05-17,2400.0,3.049874001041667,2267.11,3.627376,0.4501,0.0586164764832759,0.0586164764832759,front_week,-0.5315360161077821,0.42391304347826086,-0.9651381062473467,0.121875,0.5664392111104619,0.1818181818181817,0.08628,0.00169,0.32611,-2.4062,43.0,43.0
ETH-17MAY26-2400-P,put,2026-05-17,2400.0,3.049874001041667,2267.11,136.253311,0.4501,0.0586164764832759,0.0586164764832759,front_week,-0.5315360161077821,0.42391304347826086,-0.9651381062473467,0.121875,0.4703353150065658,1.3599999999999997,-0.91372,0.00169,0.32611,-2.4062,0.0,0.0
ETH-17MAY26-2125-C,call,2026-05-17,2125.0,3.049874001041667,2267.11,145.775173,0.4943,-0.062683328113766,0.062683328113766,front_week,-0.09175452837670707,0.5543478260869565,-0.5019745076302139,0.359375,0.5287817667363659,0.0988593155893537,0.92718,0.00135,0.28681,-2.32416,0.0,0.0
ETH-17MAY26-2125-P,put,2026-05-17,2125.0,3.049874001041667,2267.11,3.400665,0.4943,-0.062683328113766,0.062683328113766,front_week,-0.09175452837670707,0.5543478260869565,-0.5019745076302139,0.359375,0.4670462032307747,0.2068965517241381,-0.07283,0.00135,0.28684,-2.32438,52.0,52.0
ETH-17MAY26-2425-C,call,2026-05-17,2425.0,3.049874001041667,2267.11,2.4938210000000005,0.4700999999999999,0.0696437314466433,0.0696437314466433,front_week,-0.332539867813179,0.5108695652173914,-0.7555618172803193,0.209375,0.4711620676765779,0.2608695652173912,0.06111,0.00124,0.25043,-1.92976,73.0,73.0
ETH-17MAY26-2425-P,put,2026-05-17,2425.0,3.049874001041667,2267.11,160.057966,0.4700999999999999,0.0696437314466433,0.0696437314466433,front_week,-0.332539867813179,0.5108695652173914,-0.7555618172803193,0.209375,0.4202303906579443,1.2,-0.93889,0.00124,0.25043,-1.92976,0.0,0.0
ETH-17MAY26-2100-C,call,2026-05-17,2100.0,3.049874001041667,2267.11,169.806539,0.5223,-0.0737105830771335,0.0737105830771335,front_week,0.18684007923573825,0.6847826086956522,-0.2085677030763745,0.534375,0.46785183030923894,0.0789473684210527,0.94819,0.00098,0.21989,-1.88261,0.0,0.0
ETH-17MAY26-2100-P,put,2026-05-17,2100.0,3.049874001041667,2267.11,2.4938210000000005,0.5223,-0.0737105830771335,0.0737105830771335,front_week,0.18684007923573825,0.6847826086956522,-0.2085677030763745,0.534375,0.3986788979784118,0.2000000000000002,-0.05181,0.00098,0.21989,-1.88261,1075.0,1088.0
ETH-17MAY26-2450-C,call,2026-05-17,2450.0,3.049874001041667,2267.11,1.813688,0.4953,0.080670986410011,0.080670986410011,front_week,-0.08180472096197686,0.5978260869565217,-0.4914956931818625,0.371875,0.36558464671503704,0.3529411764705882,0.04542,0.00093,0.19792,-1.60717,44.0,44.0
ETH-17MAY26-2450-P,put,2026-05-17,2450.0,3.049874001041667,2267.11,184.542754,0.4953,0.080670986410011,0.080670986410011,front_week,-0.08180472096197686,0.5978260869565217,-0.4914956931818625,0.371875,0.36558464671503704,1.0630630630630629,-0.95458,0.00093,0.19792,-1.60717,0.0,0.0
ETH-17MAY26-2075-C,call,2026-05-17,2075.0,3.049874001041667,2267.11,194.064616,0.5516,-0.0847378380405009,0.0847378380405009,front_week,0.4783694364873331,0.7717391304347826,0.09846156026032196,0.671875,0.42671483595751114,0.0634005763688759,0.96254,0.00071,0.16929,-1.53096,0.0,0.0
ETH-17MAY26-2075-P,put,2026-05-17,2075.0,3.049874001041667,2267.11,1.813688,0.5516,-0.0847378380405009,0.0847378380405009,front_week,0.4783694364873331,0.7717391304347826,0.09846156026032196,0.671875,0.2996784306172769,0.2857142857142858,-0.03746,0.00071,0.16929,-1.53096,0.0,0.0
ETH-17MAY26-2475-C,call,2026-05-17,2475.0,3.049874001041667,2267.11,1.360266,0.5204,0.0916982413733784,0.0916982413733784,front_week,0.16793544514775074,0.6413043478260869,-0.22847745052824234,0.496875,0.3262436175302141,0.4615384615384615,0.03433,0.00071,0.1576,-1.34455,150.0,150.0
